bins	THOC_M06	THOC_M07	THOC_M08	THOC_M09	THOC_M10
M_adhaesivum	0.0655428317578352	0.07444405061147913	0.070591922395618	0.10650036749033814	0.12147511776151994
M_aerolatum	0.11123462244587295	0.11864455080269269	0.16005080320523532	0.43817600501881543	0.3161011102694026
M_ajmalii	0.12331753541961059	0.11479235137523883	0.11752364394625005	0.13525726518796077	0.19119550778252334
M_aminovorans	0.07290362206596501	0.08590415159737459	0.08937734929818884	0.11541888102071032	0.12093586336565558
M_aquaticum	0.07131825957284804	0.07302640955757335	0.07600967660970925	0.07710888257068398	0.1124687863387244
M_brachiatum	0.1199171490463796	0.1870236768162923	0.2632476898695291	0.5464456067021506	0.4615576086543314
M_brachythecii	0.1294338952906877	0.12351550266496829	0.14057777030062468	0.16441513975600242	0.19277768636752712
M_bullatum	0.07076246686387277	0.07478880927969049	0.0776599763442668	0.09910210068883057	0.11254921715803548
M_cerastii	0.35322786097423736	3.211061570163887	1.2804881579279455	3.3369352690799663	3.3985186089703716
M_crusticola	0.1984172638728986	0.18420279501898507	0.19556876773357387	0.23624370571213743	0.3160966234337158
M_currus	0.08341107030413285	0.0779103269342626	0.07921114351137844	0.10228872705253039	0.129868620753544
M_dankookense	0.14439833903277854	0.1568974414129001	0.16707698004361007	0.209881195022309	0.24842096247322
M_durans	0.15308788922238387	0.14950043272506305	0.15588914872852486	0.17869681624836578	0.2321714696079695
M_extorquens	0.05662515302870694	0.06763603490679312	0.06784864621951121	0.11773245299403921	0.1058485910254838
M_frigidaeris	0.07156566187384164	0.07163179927043786	0.07713312330010229	0.08824279602252773	0.11274772684742512
M_fujisawaense	0.08871592424102423	0.12995258763966605	0.17917831175516935	0.338693874073443	0.23677919952191637
M_gnaphalii	0.11086148312188066	0.11894220979119612	0.1199484176782792	0.14930055538729453	0.20147434432249195
M_goesingense	0.07535981547213091	0.0981460978107187	0.09148144579325125	0.1770512959430939	0.1783903752759051
M_gossipiicola	0.07650528051309989	0.07328050425944077	0.07758514185059413	0.0945367105337313	0.12390049628093192
M_gregans	0.11261964243095977	0.11497945952946752	0.12785000225432513	0.14856960024287524	0.19311349804587438
M_haplocladii	0.15285676806044998	0.15849821529724822	0.27826460665056185	0.3216667434490065	0.2568416849808769
M_hispanicum	0.13470816065612298	0.1387374585676259	0.1537383515764427	0.19749488081003047	0.23234208602345657
M_indicum	0.09304261351540728	0.07866152349336081	0.08893309754212515	0.09852217918306355	0.13848897890303907
M_iners	0.14973392726702303	0.16868075894330856	0.15517457872575527	0.20233010634538245	0.23651647627328568
M_isbiliense	0.18392025161775893	0.175090909064829	0.18113779090291124	0.21517194152730099	0.30537872118977666
M_jeotgali	0.18072926757511176	0.21529018577917464	0.20839410264137945	0.28305244907038657	0.3341767036933388
M_komagatae	0.06836392158972306	0.061168819296998654	0.08046443675621213	0.15552005245622302	0.1353226619279661
M_longum	0.11606330908618187	0.30798682476381783	1.121569075763697	2.9864877413006634	0.5435740887833609
M_marchantiae	0.07770698207535455	0.08240599535408169	0.08442945552949448	0.1058919597527118	0.119959959890542
M_mesophilicum	0.11270249951221376	0.23291878324962512	0.27599133173148427	0.5405517510502754	0.42275700194978055
M_nodulans	0.099673470662252	0.10308312390216927	0.10181375269797949	0.11370081441136813	0.15635281821902922
M_nonmethylotrophicum	0.10363292664427128	0.10068095347788357	0.10639144711807842	0.12249424494201017	0.1741401123583454
M_organophilum	0.16297418439491457	0.19285572746583812	0.1785828366253448	0.2637628404299166	0.2770798325988396
M_oryzihabitans	0.2362439157008264	0.22443668978386577	0.22447242816107543	0.2640758151381384	0.3794311599081779
M_oxalidis	0.1909424057580658	0.1963438685750056	0.20927388288291313	0.26640099632769565	0.31880696374632256
M_persicinum	0.0841378653591555	0.07810446797689687	0.10559991471103716	0.20164314043218512	0.1640099546788565
M_phyllostachyos	0.13057472877181653	0.15848008477408151	0.2515422159697532	0.4931179246177003	0.3596313311652147
M_planeticum	0.15204053324982514	0.18245255434699362	0.1927388706309238	0.25739379509060245	0.269621506994096
M_platani	0.11447104097586949	0.11191974817373279	0.11681746154908462	0.14448033781850228	0.19130894703647125
M_podarium	0.1205438869601426	0.13829560627589163	0.12919447290762892	0.17818886351677166	0.18305073809214298
M_pseudosasicola	0.10715680315055183	0.26260354402020547	0.3624969449738849	0.7781013098520337	0.5335227486046218
M_radiodurans	0.1476761807283614	0.16161142445567853	0.16883871765503336	0.21019785385296483	0.259188637641603
M_radiotolerans	0.14461879865663832	0.19745648351743922	0.24495782789374282	0.4566735419496138	0.32888923353881877
M_rhodesianum	0.07871332098425328	0.09345497020962364	0.08874117671769645	0.11409654258740133	0.1351380626803475
M_rhodinum	0.14423866280285028	0.16555291530569247	0.16579227658473258	0.23166823712822698	0.23680100124786027
M_salsuginis	0.11371878553048749	0.12236134035016144	0.12002972328083861	0.16347654191867309	0.18439460134757812
M_segetis	0.10231435234417001	0.1265999013599363	0.1215174667053968	0.1712533341165321	0.1752435288500696
M_soli	0.1156721160564338	0.13016518141526698	0.13580134007305797	0.1851486392068765	0.19264215807567375
M_sp_001	0.18402776291389955	0.16287459405397306	0.21812431045117653	0.21631878705564841	0.2545729613191081
M_sp_002	0.11519922403010141	0.13190389168452551	0.1292265835636716	0.20849382429157123	0.2142505961186196
M_sp_003	0.09911079010835658	0.13430136230584827	0.12530890970164285	0.23967799713638122	0.26412001792937495
M_sp_004	0.1296561302247206	0.1427468490615471	0.1338259922260792	0.22240425343841902	0.28315781887449365
M_sp_005	0.10623689487985208	0.12509317127754202	0.1336740874247006	0.21799492391406525	0.2059478248897293
M_sp_006	0.09187759355577671	0.09960173467024679	0.10665088626847175	0.21282374460947232	0.17512506180721157
M_sp_007	0.07245958447984463	0.07966529493039032	0.08055874941898868	0.12775314277934546	0.13406816419566228
M_sp_008	0.09558135139530488	0.09462616122235573	0.11327584477690186	0.25801622524666923	0.20789781043480832
M_sp_009	0.08396874397973904	0.08421928081081462	0.07891026815710708	0.13460443655056079	0.12986021247703491
M_sp_010	0.09854305223605775	0.09373491554170536	0.10742665193616588	1.0758000906718077	0.34916807149281304
M_sp_011	0.1521249353125191	0.11841360895438338	0.11452891584212552	0.16295023993566124	0.3110361362996436
M_sp_012	0.05332281625009785	0.06280464919305472	0.06110365147510121	0.08230601099476755	0.09450382047098067
M_sp_013	0.07775612937053868	0.084245363890814	0.08288393655075492	0.10573366485478859	0.13829259305069694
M_sp_014	0.07420058203509637	0.13394083104292576	0.11713945864879398	0.254893214219564	0.2213075363286876
M_sp_015	0.04024576750939705	0.09030710825825772	0.05986827592992386	0.16259922969587504	0.14847094778672928
M_sp_016	0.04083312593799256	0.04390219989894191	0.05272498623649102	0.06671512175991916	0.0725003205200721
M_sp_017	0.156182643819959	0.1739885718593817	0.1609413025459542	0.2127065252950714	0.2635277798595289
M_sp_018	1.5525001262776286	6.4282485122158555	3.157579201238725	16.61432799000708	10.466396579341268
M_sp_019	0.12939265619562626	0.16901619922346953	0.24827892536939938	0.4535408773308622	0.31661611007495516
M_sp_020	0.13922363133547988	0.23889351862368943	0.33916301302875124	0.7250420263014105	0.5123686154993956
M_sp_021	0.9244939156085508	6.6092954320072765	11.451145328986362	40.36504433032084	30.025670608179883
M_sp_022	1.547989162034675	1.578137733324379	1.645879285847641	2.1777116628979654	2.2986358291600117
M_sp_023	1.5425807123056845	1.5941502344142169	1.1131950849719607	2.595048217703145	2.6195886179742334
M_sp_024	0.4103251860571839	0.8663499271733275	1.1728475029429957	4.647949719667192	2.027353299148028
M_sp_025	1.9215507219825079	1.268100040996663	1.6198735429299034	1.2266884135091074	1.7679708822307667
M_sp_026	1.0435296878567037	2.9282713616095974	1.3847642594381928	4.101215353216544	1.2710775014482976
M_sp_027	0.2870818515904324	0.5265400399306703	0.7848004244106503	2.311961936258912	1.7009004587675534
M_sp_028	0.12089889097222364	0.17055751575909225	0.237535738470465	0.4183902846842385	0.29282622934352176
M_sp_029	0.6215169913396581	2.688432278049999	3.9194291046165626	3.344180106406283	1.3363025316759132
M_sp_030	0.19975439181422128	0.4750751383057517	0.46466573006444756	4.237254379722444	1.4122135336978494
M_sp_031	0.07753876206743608	0.12459224727194944	0.17767890003491654	0.32577547727122597	0.21368916738229826
M_sp_032	0.09524741131059122	0.2013377971214976	0.23444518266916228	0.4500798255302343	0.318883421561551
M_sp_033	0.12058876896323603	0.17561394433431118	0.1954052458989296	0.4394966503589317	0.3500757158254152
M_sp_034	0.1656865724667369	0.21709648626264863	0.45161889921062304	0.6760017062223845	0.5392440729659181
M_sp_035	0.09725273298690154	0.10944226745136026	0.10354086249531236	0.14932740967365796	0.16197609413668185
M_sp_036	0.06668196918763358	0.07831435327103727	0.07674669923103883	0.11459917457518418	0.11129963968828423
M_sp_037	0.06076504147183737	0.0631857491798871	0.06715381194799386	0.09766892633714538	0.09788960925514734
M_sp_038	0.1392778247959491	0.1385898254271083	0.14281034383830848	0.19075172492935322	0.22405720597306097
M_sp_039	0.04962903098500681	0.055068823159997116	0.05142914011372723	0.06995356881801242	0.07543557115844599
M_sp_040	0.07046374075181373	0.08052748907612972	0.08717878927833697	0.14511075320322203	0.12873325253616316
M_sp_041	0.0932063678997287	0.10168282475657715	0.10219393913902967	0.12364862989211584	0.14587201110386744
M_sp_042	0.07514320737449896	0.07205252360341291	0.07527553845233156	0.09288633042828066	0.12398789923741527
M_sp_043	0.08945060383643585	0.08402400091829175	0.0890585568421524	0.10167971885110208	0.1424558159980546
M_sp_044	0.19774021668535385	0.17294683680096679	0.18656990251420927	0.19463282075474747	0.2995488576035362
M_sp_045	0.07096453138171477	0.06433545243918697	0.07279328373589224	0.08431644100978143	0.10689597472737823
M_suomiense	0.06529158018229402	0.07866528291670427	0.08040068585867702	0.10898348524501399	0.11548001082934753
M_symbioticum	0.10441240838632453	0.12079837893737101	0.12629935278887022	0.15922969588297925	0.18810080288262018
M_tardum	0.0957226022783953	0.15272952338650075	0.21464813756293985	0.3916610295375855	0.24869547488413243
M_tarhaniae	0.12171510648847994	0.13010865445965886	0.12108579749927248	0.13687726576842274	0.16644620266701693
M_terrae	0.1262447867834596	0.12214885613485774	0.12207697208140196	0.1437861184915318	0.20565686934075345
M_terricola	0.09560560696217829	0.08881695221675634	0.0897415982633928	0.10718286132989249	0.1431184424591368
M_thiocyanatum	0.09164716617225141	0.10416794537593368	0.10160596765565105	0.12894894628942363	0.141995798595896
M_thuringiense	0.1716914738509224	0.18107106200464934	0.33652025924767875	0.3630372388151008	0.2876077791296782
M_trifolii	0.19409995390437676	0.2502626288450141	0.4267348804418982	0.3732736414380285	0.3957020673305986
M_variabile	0.12166331594253099	0.11021712938257029	0.11420098307637315	0.13206009913809058	0.17877350520802104
M_zatmanii	0.08433234147783833	0.09111247456148151	0.09591905502473788	0.12539234291672638	0.14011972860179622
