bins	ACSA_M21	ACSA_M22	ACSA_M23	ACSA_M24	ACSA_M25
M_adhaesivum	0.06714961324795186	0.03472366821629724	0.02370622664170269	0.04391584364365708	0.06183714384542403
M_aerolatum	0.09977970926543445	0.06309622779025534	0.03304627540544668	0.07461059589207497	0.09732196582572122
M_ajmalii	0.10655653112744709	0.08450349035983255	0.04501730625724402	0.08044075385421463	0.09631051236047822
M_aminovorans	0.06303913096563193	0.03746498225891969	0.024816852747763376	0.049567831584965236	0.06401216821521159
M_aquaticum	0.05900093937348394	0.04691008258147573	0.02531062413151556	0.04397791286854467	0.05535572332439562
M_brachiatum	0.1955838693969645	0.06979172269695597	0.043276388945193034	0.11764412672959094	0.1997726346726288
M_brachythecii	0.12246171707890635	0.06722523465216756	0.04557604172251422	0.08495249645502831	0.10788305568240011
M_bullatum	0.08065570109101484	0.05413820912232648	0.029116227452554055	0.056403563617785035	0.06735789021784505
M_cerastii	0.9715418744516184	0.21280804010849602	0.09396030571296653	0.4276032441917951	0.9197343866217915
M_crusticola	0.15976574593928802	0.1362424994605375	0.06548646116607001	0.12368622447270052	0.1566790821229492
M_currus	0.0743245921471995	0.053016635604156676	0.03203456105025929	0.05326814832795038	0.06723368927720434
M_dankookense	0.1289394114316634	0.07315068729593904	0.0476729377661616	0.09269543403360982	0.1170199964469722
M_durans	0.12983445964608614	0.07970081205001196	0.05419824332038227	0.09993216344117702	0.12895693004585043
M_extorquens	0.055481754863075536	0.027110881698460657	0.0207733663016948	0.041736809076510846	0.048786621359664044
M_frigidaeris	0.055619499765442955	0.05010266677262322	0.023868806989030933	0.04735206884441562	0.05493313201588323
M_fujisawaense	0.09016343524210783	0.0493818753022523	0.028027113006058847	0.06243287448984612	0.09269875451053428
M_gnaphalii	0.1168882359941592	0.060089123069047394	0.04083075747052686	0.0775814825845648	0.1052553478144153
M_goesingense	0.09830113331516149	0.05082446269043403	0.03173691131031809	0.0662475896384542	0.08230491865603902
M_gossipiicola	0.07071809894898064	0.04834247030989103	0.025818985093891137	0.05290458609551447	0.06489378748213952
M_gregans	0.09080386796931263	0.05425455560810812	0.029693378707646757	0.06953835773371912	0.09082092772703274
M_haplocladii	0.20854559324523048	0.08928964223539129	0.04840207299340169	0.10209845053238278	0.17997564161377877
M_hispanicum	0.10830835240851323	0.06741035417767881	0.035424538798938504	0.07951434764991226	0.11193485594722055
M_indicum	0.06799552201409967	0.059666012400405886	0.027234960831868344	0.057388874582365135	0.06821932634264
M_iners	0.13689888872187184	0.07818654899607179	0.04973654777680681	0.09837593906150081	0.13227987626826304
M_isbiliense	0.14997905050070093	0.11442127384717868	0.05990151081678376	0.11663140657706697	0.14049404097552803
M_jeotgali	0.16731001406439483	0.09241621459683264	0.05802571954448582	0.1252143743855797	0.1772743866560466
M_komagatae	0.06443188569253973	0.04353753834852675	0.025476088747409583	0.04579015366307599	0.055860679877284714
M_longum	0.7050007200164888	0.06380990103350527	0.08681480841015793	0.1571875151271963	0.21704767666053612
M_marchantiae	0.07410692633647085	0.04710282415400749	0.030746755843101544	0.05721145646439939	0.06983744053634156
M_mesophilicum	0.18073605920565206	0.07251130094978463	0.05307967084320844	0.1573366461864667	0.22344498521632467
M_nodulans	0.09251883296590958	0.06745995201731594	0.03683473126325514	0.06762003760144504	0.08159635760607904
M_nonmethylotrophicum	0.08742823096642581	0.06298960131123894	0.03520826235811554	0.06513737311929506	0.08474619772882708
M_organophilum	0.1583512333153673	0.07905939887765132	0.049529976855521386	0.11401588408737834	0.15647232966614882
M_oryzihabitans	0.17684529686146847	0.1385533806909377	0.0726881896788843	0.14301365780376185	0.1825608844737811
M_oxalidis	0.15457190622463496	0.09966680937817575	0.0577134611791934	0.12468351365643666	0.1683812024171782
M_persicinum	0.07566246437677689	0.04712917085507687	0.028038177434050442	0.05701764453358642	0.07405438043999317
M_phyllostachyos	0.17585335174494093	0.08313685381624679	0.05037600709953008	0.09506776839279367	0.13471601048437534
M_planeticum	0.13835034983244465	0.07554559735315292	0.04261080013002772	0.10168134017056778	0.13908354281298985
M_platani	0.09419324619263685	0.08375600984639565	0.03929175997915685	0.07742020447358942	0.09128033041519727
M_podarium	0.1018480557124149	0.05025188581830298	0.032738269871490214	0.07385543880356642	0.11563239179362211
M_pseudosasicola	0.2649391690066012	0.06752056929179052	0.043396490748292584	0.1667931042089312	0.24347341970237288
M_radiodurans	0.13122004009245997	0.08457162352801012	0.05103530067991108	0.09989900165983867	0.12285712480560752
M_radiotolerans	0.12144566473066816	0.07384459734661428	0.041712626701125216	0.08864404249243743	0.13697273996211107
M_rhodesianum	0.07748986981389412	0.040052923636892605	0.023296780820146256	0.05311996539341298	0.07900928923701467
M_rhodinum	0.11700900508947931	0.06521041040285576	0.036836849946374935	0.08497029441437322	0.13206490353222516
M_salsuginis	0.09526908829508696	0.05626385647923005	0.03594649884583734	0.07507344884915267	0.10160463265432242
M_segetis	0.08814836411149264	0.052855529556381176	0.028476856297473218	0.0669882079636271	0.0978171677407593
M_soli	0.11628206063495908	0.0537309279505787	0.03904623018902265	0.07796204806002276	0.11399179771199335
