gene_callers_id,gene_cluster_id,type,genome_name,host_species,DAGCs,genome_occurences,mean_pNpS,log_mean_pNpS,CI_lower.log,COG20_CATEGORY,COG20_PATHWAY,COG20_FUNCTION,KEGG_BRITE,KEGG_Class,KEGG_Module,KOfam,Pfam
66827,GC_00013381,accessory,M_sp_018,COCO,broadleaf_vs_conifer,6,1.6386444902332238,0.4938693697259736,0.254056846646369,Transcription,,"DNA-binding transcriptional regulator YiaG, XRE-type HTH domain (YiaG) (PDB:5JAA)",Transcription factors>>>Prokaryotic type>>>Helix-turn-helix>>>Other families,,,putative transcriptional regulator,Helix-turn-helix domain
285828,GC_00029088,accessory,M_sp_018,COCO,non-DAGC,2,1.588788268829393,0.4629716306142113,0.08447201422456971,,,,,,,,
458233,GC_00000459,accessory,M_sp_018,COCO,non-DAGC,61,1.5513821131424324,0.43914621951379773,0.39666219059439556,Signal transduction mechanisms,,"CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)",,,,,
552277,GC_00008486,accessory,M_sp_018,COCO,non-DAGC,9,1.537419353125778,0.43010526607128957,0.09174798858784737,,,,,,,,
551999,GC_00054149,accessory,M_sp_018,COCO,non-DAGC,1,1.4904291546170225,0.3990641017195402,0.11720397485534641,,,,,,,,
285423,GC_00002976,accessory,M_sp_018,COCO,non-DAGC,57,1.4867722055482004,0.39660746512323103,0.08908048032707334,Energy production and conversion,Non-phosphorylated Entner-Doudoroff pathway,"Aldehyde, CO or xanthine dehydrogenase, Mo-binding subunit (CoxL) (PDB:1DGJ) (PUBMED:10095793)",,,,,
458126,GC_00056950,accessory,M_sp_018,COCO,non-DAGC,1,1.4710678353381288,0.3859885556737257,0.10947570383598998,,,,,,,,
66844,GC_00007249,accessory,M_sp_018,COCO,broadleaf_vs_conifer,13,1.3893292919529314,0.3288211069156721,0.18368626041814684,Signal transduction mechanisms,,"Chemotaxis response regulator CheB, contains REC and protein-glutamate methylesterase domains (CheB) (PDB:1A2O)",,,,,CheB methylesterase
378907,GC_00058603,accessory,M_sp_018,COCO,non-DAGC,1,1.3817026902246008,0.3233165721181808,0.155576411111124,,,,,,,,
165800,GC_00043721,accessory,M_sp_018,COCO,non-DAGC,1,1.3802852670215215,0.32229019303945017,0.08445023992357534,,,,,,,,
66777,GC_00045794,accessory,M_sp_018,COCO,non-DAGC,1,1.3706788905014127,0.3153061576123607,0.040044193833182445,,,,,,,,
458252,GC_00004521,accessory,M_sp_018,COCO,non-DAGC,30,1.3102191713215006,0.27019442957120376,0.057955433817730356,,,,,,,,Protein of unknown function (DUF2380)
458826,GC_00021692,accessory,M_sp_018,COCO,non-DAGC,3,1.3085035031547634,0.2688841202139511,0.010224211445098028,,,,,,,,
66268,GC_00028109,accessory,M_sp_018,COCO,non-DAGC,2,1.2905070639686749,0.2550352139846226,0.14028683541471043,,,,,,,,
66378,GC_00006189,accessory,M_sp_018,COCO,non-DAGC,19,1.2633911316434125,0.23379948002092032,0.06478366769924501,Defense mechanisms,,"Antitoxin component of toxin-antitoxin stability system, DNA-binding transcriptional repressor (Phd) (PDB:3DBO)",,,,,
67036,GC_00031561,accessory,M_sp_018,COCO,non-DAGC,2,1.217126756734658,0.1964929636635144,0.015572561995055518,,,,,,,,
67195,GC_00060145,accessory,M_sp_018,COCO,non-DAGC,1,1.205437958023898,0.1868429515526718,0.052971863052830546,,,,,,,,
551453,GC_00008866,accessory,M_sp_018,COCO,non-DAGC,13,1.2053005108947001,0.18672892248554668,0.02013904661337181,,,,,,,,
551239,GC_00026991,accessory,M_sp_018,COCO,broadleaf_vs_conifer,2,1.1247656967904898,0.11757474444571067,0.01447086570392131,Signal transduction mechanisms,,"Serine kinase of the HPr protein, regulates carbohydrate metabolism (HprK) (PDB:1JB1)",KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09191 Unclassified: metabolism>>>99980 Enzymes with EC numbers|Enzymes>>>2. Transferases>>>2.7  Transferring phosphorus-containing groups>>>2.7.4  Phosphotransferases with a phosphate group as acceptor>>>2.7.4.-|Enzymes>>>2. Transferases>>>2.7  Transferring phosphorus-containing groups>>>2.7.11  Protein-serine/threonine kinases>>>2.7.11.-,,,HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-],HPr Serine kinase C-terminal domain
555302,GC_00050727,accessory,M_sp_021,THOC,non-DAGC,1,3.5957604922253306,1.279755510449445,0.8800418738321886,,,,,,,,
554552,GC_00018830,accessory,M_sp_021,THOC,non-DAGC,3,3.390805164584145,1.2210674048676649,0.8614197666679554,,,,,,,,
461537,GC_00005506,accessory,M_sp_021,THOC,non-DAGC,22,3.2688371437907096,1.1844343081440192,0.037646558858824154,Energy production and conversion,,"Heme/copper-type cytochrome/quinol oxidase, subunit 2 (CyoA) (PDB:1CYW)",KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00190 Oxidative phosphorylation [PATH:ko00190]|Enzymes>>>7. Translocases>>>7.1  Catalysing the translocation of protons>>>7.1.1  Linked to oxidoreductase reactions>>>7.1.1.3  ubiquinol oxidase (H+-transporting),Pathway modules; Energy metabolism; ATP synthesis,Cytochrome o ubiquinol oxidase,cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3],"Cytochrome C oxidase subunit II, periplasmic domain"
70706,GC_00022637,accessory,M_sp_021,THOC,non-DAGC,3,3.0179476287146123,1.104577007217827,0.5722236457452443,,,,,,,,
382150,GC_00037553,accessory,M_sp_021,THOC,non-DAGC,1,1.765556060236052,0.5684656890603486,0.2131094336412201,,,,,,,,
381901,GC_00035115,accessory,M_sp_021,THOC,non-DAGC,1,1.7636904887295444,0.5674084822858234,0.19815693359875,,,,,,,,
173051,GC_00053957,accessory,M_sp_024,COCO,non-DAGC,1,2.456826045778678,0.8988702915937661,0.18948684052369646,,,,,,,,
