gene_cluster_id;focal;reference;type;genome_occurences;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;COG20_CATEGORY_ACC;COG20_CATEGORY;COG20_PATHWAY_ACC;COG20_PATHWAY;COG20_FUNCTION_ACC;COG20_FUNCTION;KEGG_BRITE_ACC;KEGG_BRITE;KEGG_Class_ACC;KEGG_Class;KEGG_Module_ACC;KEGG_Module;KOfam_ACC;KOfam;Pfam_ACC;Pfam
GC_00002315;shrub;tree;accessory;71;2.20925378276611;2.11364917419985;0.509635169298554;4.14737698952176;3.36306053870259e-5;0.0037159149856998;I;Lipid transport and metabolism;;;COG0365;Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase (Acs) (PDB:4B2O) (PUBMED:14638756);ko01000|ko01004|ko02000;Enzymes>>>6. Ligases>>>6.2  Forming carbon-sulfur bonds>>>6.2.1  Acid-thiol ligases>>>6.2.1.-|Lipid biosynthesis proteins>>>Acyl-CoA synthetase>>>Long/very long chain acyl-CoA synthetase|Transporters>>>Solute carrier family (SLC)>>>SLC27: Fatty acid transporter;M00086;"Pathway modules; Lipid metabolism; Fatty acid metabolism";M00086;beta-Oxidation, acyl-CoA synthesis;K01897;long-chain acyl-CoA synthetase [EC:6.2.1.3];PF00501.32;AMP-binding enzyme
GC_00000192;shrub;tree;accessory;44;25.2534033552383;2.03659568844021;0.319028314488778;6.38374588068687;1.72807768302678e-10;6.01457437577471e-7;V;Defense mechanisms;COG3415;CRISPR-Cas system;COG3415;CRISPR-associated protein Csa3, CARF domain (Csa3) (PDB:2WTE) (PUBMED:21093452);ko00001;KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09192 Unclassified: genetic information processing>>>99976 Replication and repair;;;;;K07499;putative transposase;PF13358.10;DDE superfamily endonuclease
GC_00002083;shrub;tree;accessory;57;2.34457312897694;1.99555504490915;0.580479248478514;3.43777154849147;5.8652230312156e-4;0.0248440730466005;P;Inorganic ion transport and metabolism;;;COG2217;Cation-transporting P-type ATPase (ZntA) (PDB:4BBJ);ko00001|ko01000|ko01000;KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09191 Unclassified: metabolism>>>99980 Enzymes with EC numbers|Enzymes>>>7. Translocases>>>7.2  Catalysing the translocation of inorganic cations>>>7.2.2  Linked to the hydrolysis of a nucleoside triphosphate>>>7.2.2.12  P-type Zn2+ transporter|Enzymes>>>7. Translocases>>>7.2  Catalysing the translocation of inorganic cations>>>7.2.2  Linked to the hydrolysis of a nucleoside triphosphate>>>7.2.2.21  Cd2+-exporting ATPase;;;;;K01534;Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21];PF00122.24;E1-E2 ATPase
GC_00004081;shrub;tree;accessory;35;2.03166781968205;1.97301271255266;0.617435121541047;3.19549802678579;0.00139589737461273;0.0420642494574856;T;Signal transduction mechanisms;;;COG0642;Signal transduction histidine kinase (BaeS) (PDB:1JOY);ko01001|ko02022;Protein kinases>>>Histidine kinases>>>Other|Two-component system>>>Other families>>>Unclassified;;;;;K07638;two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ [EC:2.7.13.3];PF02518.30;Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
GC_00003083;shrub;tree;accessory;35;21.4290046327678;1.95088286483105;0.293201593608229;6.65372531173137;2.8576579557110097e-11;1.98921570297043e-7;X;Mobilome: prophages, transposons;;;COG3293;Transposase;ko00001;KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09192 Unclassified: genetic information processing>>>99976 Replication and repair;;;;;K07492;putative transposase;PF01609.25_or_PF13340.10;Transposase DDE domain_or_Putative transposase of IS4/5 family (DUF4096)
GC_00005740;shrub;tree;accessory;20;1.84844571375111;1.8910024601791;0.588107323966444;3.21540369098855;0.00130261196019412;0.0407574716247981;K;Transcription;;;COG0583;DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI);;;;;;;;;PF03466.24;LysR substrate binding domain
GC_00004256;shrub;tree;accessory;34;1.97279882884851;1.81537437337251;0.570805649482669;3.18037211968349;0.00147086041780245;0.0437549545654824;;;;;;;;;;;;;;;PF03703.18;Bacterial PH domain
GC_00014080;shrub;tree;accessory;6;1.99601197848392;1.81005282693241;0.552529170879724;3.27594075087563;0.00105310651174723;0.0355888914625883;K;Transcription;;;COG2207;AraC-type DNA-binding domain and AraC-containing proteins (AraC) (PDB:1BL0);;;;;;;;;PF12625.11;Arabinose-binding domain of AraC transcription regulator, N-term
GC_00006130;shrub;tree;accessory;16;4.46593226429781;1.67779892813382;0.36970903171837;4.53816051053872;5.67470612208883e-6;0.00112861798045315;X;Mobilome: prophages, transposons;;;COG3293;Transposase;ko00001;KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09192 Unclassified: genetic information processing>>>99976 Replication and repair;;;;;K07492;putative transposase;PF01609.25;Transposase DDE domain
GC_00002546;shrub;tree;accessory;79;2.73862015073828;1.66144061834362;0.516697671925034;3.21549855673566;0.00130218149620618;0.0407574716247981;P;Inorganic ion transport and metabolism;;;COG0600;ABC-type nitrate/sulfonate/bicarbonate transport system, permease component (TauC);ko02000;Transporters>>>ABC transporters, prokaryotic type>>>Mineral and organic ion transporters>>>NitT/TauT family transporter;;;;;K02050;NitT/TauT family transport system permease protein;PF00528.26;Binding-protein-dependent transport system inner membrane component
GC_00002736;shrub;tree;accessory;71;2.97817210602418;1.61879007410008;0.484439570981147;3.34157275967673;8.33051794597834e-4;0.0303543517760813;K|E;Transcription|Amino acid transport and metabolism;COG1167;Lysine biosynthesis;COG1167;DNA-binding transcriptional regulator, MocR family, contains an aminotransferase domain (ARO8) (PDB:2R2N);;;;;;;;;PF12897.11;Aspartate amino-transferase
GC_00003343;shrub;tree;accessory;51;3.58017235016538;1.52773086483206;0.421141379850494;3.62759618960835;2.86072212497929e-4;0.0162809220734605;H|R;Coenzyme transport and metabolism|General function prediction only;COG0596|COG0599;Menaquinone biosynthesis;COG0596|COG0599;2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH and related esterases, alpha/beta hydrolase fold (MenH) (PDB:4MYS)|Uncharacterized conserved protein YurZ, alkylhydroperoxidase/carboxymuconolactone decarboxylase family (YurZ) (PDB:3BEY);ko00001|ko01000;KEGG Orthology (KO)>>>09100 Metabolism>>>09111 Xenobiotics biodegradation and metabolism>>>00362 Benzoate degradation [PATH:ko00362]|Enzymes>>>3. Hydrolases>>>3.1  Acting on ester bonds>>>3.1.1  Carboxylic-ester hydrolases>>>3.1.1.24  3-oxoadipate enol-lactonase;M00568;"Pathway modules; Xenobiotics biodegradation; Aromatics degradation";M00568;Catechol ortho-cleavage, catechol => 3-oxoadipate;K14727_or_K01055;3-oxoadipate enol-lactonase / 4-carboxymuconolactone decarboxylase [EC:3.1.1.24 4.1.1.44]_or_3-oxoadipate enol-lactonase [EC:3.1.1.24];PF00561.24;alpha/beta hydrolase fold
GC_00002963;shrub;tree;accessory;62;3.26849909930256;1.48252284914805;0.415193508723184;3.57067925678114;3.56056683615823e-4;0.0189199280507614;P;Inorganic ion transport and metabolism;;;COG0715;ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component (TauA) (PDB:2X26);ko00001|ko00001|ko02000;KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00920 Sulfur metabolism [PATH:ko00920]|KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010]|Transporters>>>ABC transporters, prokaryotic type>>>Mineral and organic ion transporters>>>Sulfonate transporter;;;;;K15553;sulfonate transport system substrate-binding protein;PF09084.15;NMT1/THI5 like
GC_00008302;shrub;tree;accessory;14;3.09881062538067;1.48008617142361;0.453687789379596;3.26234517672953;0.00110494510851367;0.0368015449778164;D|M;Cell cycle control, cell division, chromosome partitioning|Cell wall/membrane/envelope biogenesis;;;COG0489|COG3944;"Fe-S cluster carrier ATPase, Mrp/ApbC/NBP35 family (Mrp) (PDB:2PH1) (PUBMED:18616280;19114487;31709520)|Capsular polysaccharide biosynthesis protein YveK (YveK)";;;;;;;;;;
