gene_callers_id	COCO_M01	COCO_M02	COCO_M03	COCO_M04	COCO_M05
43200	0.9365079365079365	0.8095238095238095	0.9920634920634921	0.9166666666666666	0.8531746031746031
43201	0.0	0.2996031746031746	0.0	0.29563492063492064	0.0
43202	0.6327160493827161	0.42901234567901236	0.6666666666666666	0.0	0.6635802469135802
43203	0.69140625	0.85546875	0.3424479166666667	0.0	0.6106770833333334
43204	0.0	0.5308641975308642	0.6666666666666666	0.0	0.41728395061728396
43205	0.8802395209580839	0.780439121756487	0.6986027944111777	0.22055888223552894	0.7145708582834331
43206	0.0	0.35130718954248363	0.0	0.0	0.0
43207	1.0	1.0	1.0	0.0	1.0
43208	1.0	1.0	0.3466666666666667	0.6133333333333333	1.0
43209	1.0	1.0	1.0	0.0	1.0
43210	1.0	1.0	0.36065573770491804	0.5956284153005464	1.0
43211	0.8256410256410256	0.41025641025641024	0.0	0.0	0.4717948717948718
43212	0.6019417475728155	0.0	0.0	0.0	1.0
43213	0.0	0.0	0.0	0.0	0.014925373134328358
43214	0.0	0.5466666666666666	0.0	0.0	0.5422222222222223
43215	0.0	0.0	0.0	0.0	0.37209302325581395
43216	0.0	0.0	0.0	0.0	0.0
43217	0.0	0.0	0.0	0.0	0.0
43218	0.08544839255499154	0.12859560067681894	0.0	0.0	0.0
43219	0.0	0.9279279279279279	0.0	0.0	0.0
43220	0.0	0.0	0.0	0.0	0.1558974358974359
43221	0.0	0.0	0.0	0.0	0.0
43222	0.0	0.0	0.0	0.0	0.0
43223	0.16272009714632665	0.35276259866423804	0.45901639344262296	0.25197328476017	0.3145112325440194
43224	0.0	0.0	0.0	0.0	0.0
43225	0.143317230273752	0.0	0.1747181964573269	0.0	0.0
43226	0.0	0.0	0.2050438596491228	0.0	0.0
43227	0.3706214689265537	0.17062146892655367	0.29265536723163843	0.17062146892655367	0.4011299435028249
43228	0.8927875243664717	0.4567901234567901	0.40025990903183883	0.26900584795321636	0.8180636777128005
43229	0.9309838472834068	0.28634361233480177	0.76431718061674	0.18649045521292218	0.6483113069016153
43230	0.835016835016835	0.0	0.0	0.0	0.29797979797979796
43231	0.0	0.0	0.3165374677002584	0.3979328165374677	0.0
43232	0.03211009174311927	0.2415902140672783	0.0	0.10244648318042814	0.0
43233	0.5519125683060109	0.0	0.0	0.0	0.2581967213114754
43234	0.0	0.0	0.0	0.0	0.0
43235	0.0	1.0	0.6	0.9955555555555555	1.0
43236	0.2840300107181136	1.0	0.909967845659164	0.7556270096463023	0.9378349410503751
43237	0.0	1.0	0.0304093567251462	0.9754385964912281	0.8771929824561403
43238	0.5096674400618716	0.7107501933488012	0.3766434648105182	0.2374323279195669	0.8081979891724671
43239	0.0	1.0	0.7237827715355806	0.7846441947565543	0.8239700374531835
43240	0.47152777777777777	0.9583333333333334	0.6090277777777777	0.32222222222222224	0.7569444444444444
43241	0.0	1.0	0.41555555555555557	0.3074074074074074	0.9733333333333334
43242	0.17571511967308814	1.0	0.5685931115002919	0.5954465849387041	0.9889083479276124
43243	0.8797619047619047	1.0	0.9178571428571428	0.75	1.0
43244	0.5154320987654321	1.0	0.4331275720164609	0.9423868312757202	0.8487654320987654
43245	0.2438867438867439	1.0	0.7342342342342343	0.8564993564993565	0.7355212355212355
43246	0.15634218289085547	0.9862340216322517	0.29793510324483774	0.7630285152409046	0.887905604719764
43247	0.0	1.0	0.22959889349930843	0.4412171507607192	0.9142461964038727
43248	0.0	1.0	0.8530183727034121	0.7099737532808399	0.8871391076115486
43249	0.0	1.0	0.5635593220338984	0.2810734463276836	0.7387005649717514
43250	0.5887096774193549	1.0	0.6169354838709677	0.510752688172043	0.6975806451612904
43251	0.0	0.8472622478386167	0.2584053794428434	0.6003842459173871	0.8021133525456292
43252	0.3185437997724687	1.0	0.5620022753128555	0.020477815699658702	0.6723549488054608
43253	0.18152610441767067	1.0	0.714859437751004	0.6313253012048192	0.8755020080321285
43254	0.0	1.0	0.44727272727272727	0.6072727272727273	0.793939393939394
43255	0.3835005574136009	1.0	1.0	0.822742474916388	0.7591973244147158
43256	0.0	0.0	0.0	0.0	0.0
43257	0.0	0.0	0.0	0.0	0.0
43258	0.0	0.15016835016835017	0.0	0.0	0.0
43259	0.0	0.0	0.0	0.0	0.5666666666666667
43260	0.0	0.23429951690821257	0.358695652173913	0.0	0.22705314009661837
43261	0.4200512257592389	0.6542261251372119	0.650567142334431	0.23197950969630443	0.4654226125137212
43262	0.4060876020786934	0.3979213066072754	0.4194506310319228	0.14550853749072012	0.48997772828507796
