bins	COCO_M01	COCO_M02	COCO_M03	COCO_M04	COCO_M05
M_adhaesivum	0.12668988903459283	0.08118500776240499	0.08120788237914826	0.03950595958589675	0.09951783728408606
M_aerolatum	0.1901054709803604	0.04561750598905825	0.06418445786850006	0.02375839160086476	0.16108736900696954
M_ajmalii	0.025412280562479822	0.029197428935850415	0.03271134009706323	0.024123043784301586	0.034682109987351085
M_aminovorans	0.02731515044060163	0.031173431104441308	0.03351982931714156	0.017240675666499186	0.05243851161539932
M_aquaticum	0.01587192363359583	0.019199246103044392	0.019688826742412454	0.01586047782961395	0.021443850019635006
M_brachiatum	0.29211680842428445	0.3002091464462061	0.32953712842355254	0.1344504530822798	0.27995195893984726
M_brachythecii	0.036382964169441326	0.04139953818308877	0.052405866442845075	0.021855513054924412	0.1501537232833001
M_bullatum	0.06687745344375402	0.1200815822138993	0.06147524973406219	0.0270934434185991	0.11308426296519687
M_cerastii	0.692346263879342	0.63224364693953	0.729887295066756	0.2718812586015176	0.7109075408307637
M_crusticola	0.027052068520451996	0.033837367798175345	0.0383199327715775	0.027644874167853932	0.043702495466504405
M_currus	0.021292333832786645	0.022242349552331883	0.0265703567465254	0.019217999428028047	0.028657215142150524
M_dankookense	0.05605137463258648	0.0657020299317353	0.07790428677200585	0.02804465742347516	0.09051720979521892
M_durans	0.03291126374132248	0.03880015467619276	0.044306921759625834	0.02125604434050859	0.057391349181505145
M_extorquens	0.035995323857487715	0.03399315234808946	0.03644063188343413	0.016185240300588634	0.053080814670376536
M_frigidaeris	0.0160078134412723	0.019374924698216084	0.02285905813169545	0.014991399574977506	0.024516722763825407
M_fujisawaense	0.0565166795267644	0.051608492224540906	0.08472004387233344	0.027244707059773655	0.07479356843112007
M_gnaphalii	0.025177445411543015	0.031698486889178396	0.037407048030789876	0.01656674900612309	0.10875062940465194
M_goesingense	0.1624854572197616	0.21457738671253868	0.11339975426778812	0.04788141264902249	0.12703537996446368
M_gossipiicola	0.09821036078993868	0.059721017403536844	0.06030249820152034	0.03341602840437558	0.06755675294580471
M_gregans	0.04545363549529786	0.048427603871729424	0.05826133564324774	0.023231560273255538	0.06816156565404238
M_haplocladii	0.1447117839695345	0.24678730794411716	0.24427922903609614	0.045780875314347984	0.6055557105621571
M_hispanicum	0.04633263773438472	0.05193113344711484	0.06139161017088141	0.024605966442428916	0.07429728030290378
M_indicum	0.02019256352347152	0.023690970223419715	0.0260790605409702	0.01874923136508453	0.02954992696286605
M_iners	0.04263769596044777	0.04340364913266585	0.048166971604228774	0.023790771219668966	0.06395335929336497
M_isbiliense	0.02646751565331383	0.03179532977495461	0.03586359200789153	0.025383104734443402	0.04204502112664844
M_jeotgali	0.049384368788524605	0.05822372433786121	0.06432106107248187	0.0307712454882713	0.08583541428971218
M_komagatae	0.05762951447643822	0.024642284869785386	0.031603493180273015	0.013894429306861453	0.054292299872076163
M_longum	0.1170322107672453	0.08809394129719267	0.14465557486086023	0.045500779840268984	0.4165120331043184
M_marchantiae	0.06573005693297876	0.17229057989026894	0.07105797472375987	0.02350785252947692	0.18390970994325773
M_mesophilicum	0.4092437880592657	0.2889932228412218	0.37824787181932673	0.10917918196541698	0.24459051879989577
M_nodulans	0.016304179353779185	0.01899667180373575	0.022110930372161084	0.017078360026708837	0.024990321327404773
M_nonmethylotrophicum	0.019379362900906763	0.024350139413630203	0.027156161142645248	0.018699660800176522	0.030321634574375984
M_organophilum	0.05590600329729559	0.06090822263086142	0.05765907865952253	0.0329150946387242	0.10446224755080688
M_oryzihabitans	0.03560467738775437	0.042469158099560735	0.047411903304714974	0.032497034033784254	0.054469275525657286
M_oxalidis	0.043669881590998404	0.05357994137801146	0.057765080235670556	0.02699564785831256	0.07655090094430911
M_persicinum	0.08580930897918634	0.029321874968580994	0.04107794170567682	0.017771822051863506	0.07867508452542174
M_phyllostachyos	0.06924236323379739	0.0569867628609989	0.08810738936992335	0.038834781978392185	0.08230294498163439
M_planeticum	0.055772192788226704	0.0639436864221442	0.07753924233321477	0.031169551727717862	0.09125444417402612
M_platani	0.025338238497470775	0.029127734061894478	0.0306666249044333	0.0224755797713233	0.03817613886322252
M_podarium	0.041238296002485936	0.048148199159317756	0.04843214969041845	0.024267299143676892	0.08423651928344848
M_pseudosasicola	0.34543262456727464	0.3417360612287859	0.3661486598716166	0.1441699145264684	0.3729678141585797
M_radiodurans	0.05010799331010101	0.05735550422902344	0.06861190011363441	0.030029812110594536	0.08053475868256285
M_radiotolerans	0.07225613158798744	0.06255125661136002	0.09980896086596677	0.035233095283304657	0.09442362855498752
