gene_cluster_id;focal;reference
GC_00003343;shrub;tree
GC_00002963;shrub;tree
GC_00008302;shrub;tree
GC_00008354;shrub;tree
GC_00003154;shrub;tree
GC_00002510;shrub;tree
GC_00000118;shrub;tree
GC_00003548;shrub;tree
GC_00002930;shrub;tree
GC_00002317;shrub;tree
GC_00002151;shrub;tree
GC_00003440;shrub;tree
GC_00000442;shrub;tree
GC_00001076;shrub;tree
GC_00009075;conifer;broadleaf
GC_00003577;conifer;broadleaf
GC_00005497;conifer;broadleaf
GC_00016438;conifer;broadleaf
GC_00004476;conifer;broadleaf
GC_00014941;conifer;broadleaf
GC_00018323;conifer;broadleaf
GC_00033158;conifer;broadleaf
GC_00007053;conifer;broadleaf
GC_00006093;conifer;broadleaf
GC_00011762;conifer;broadleaf
GC_00004403;conifer;broadleaf
GC_00007188;conifer;broadleaf
GC_00025457;conifer;broadleaf
GC_00012753;conifer;broadleaf
GC_00005015;conifer;broadleaf
GC_00013826;conifer;broadleaf
GC_00025599;conifer;broadleaf
GC_00007698;conifer;broadleaf
GC_00007618;conifer;broadleaf
GC_00009194;conifer;broadleaf
GC_00004674;conifer;broadleaf
GC_00007971;conifer;broadleaf
GC_00026383;conifer;broadleaf
GC_00008426;conifer;broadleaf
GC_00026227;conifer;broadleaf
GC_00005478;conifer;broadleaf
GC_00068115;conifer;broadleaf
GC_00007126;conifer;broadleaf
GC_00003883;conifer;broadleaf
GC_00003001;conifer;broadleaf
GC_00003305;conifer;broadleaf
GC_00018142;conifer;broadleaf
GC_00005550;conifer;broadleaf
GC_00009735;conifer;broadleaf
GC_00002891;conifer;broadleaf
GC_00006559;conifer;broadleaf
GC_00003327;conifer;broadleaf
GC_00007033;conifer;broadleaf
GC_00026861;conifer;broadleaf
GC_00006798;conifer;broadleaf
GC_00003274;conifer;broadleaf
GC_00017914;conifer;broadleaf
GC_00029952;conifer;broadleaf
GC_00006662;conifer;broadleaf
GC_00012450;conifer;broadleaf
GC_00004402;conifer;broadleaf
GC_00013586;conifer;broadleaf
GC_00005331;conifer;broadleaf
GC_00011134;conifer;broadleaf
GC_00002821;conifer;broadleaf
GC_00004070;conifer;broadleaf
GC_00005879;conifer;broadleaf
GC_00003511;conifer;broadleaf
GC_00022630;conifer;broadleaf
GC_00005462;conifer;broadleaf
GC_00004330;conifer;broadleaf
GC_00005896;conifer;broadleaf
GC_00011938;conifer;broadleaf
GC_00004716;conifer;broadleaf
GC_00002160;conifer;broadleaf
GC_00004163;conifer;broadleaf
GC_00012213;conifer;broadleaf
GC_00038602;conifer;broadleaf
GC_00005184;conifer;broadleaf
GC_00014125;conifer;broadleaf
GC_00007395;conifer;broadleaf
GC_00003351;conifer;broadleaf
GC_00017003;conifer;broadleaf
GC_00025438;conifer;broadleaf
GC_00008260;conifer;broadleaf
GC_00010001;conifer;broadleaf
GC_00011274;conifer;broadleaf
GC_00005189;conifer;broadleaf
GC_00004747;conifer;broadleaf
GC_00005056;conifer;broadleaf
GC_00013111;conifer;broadleaf
GC_00006713;conifer;broadleaf
GC_00005590;conifer;broadleaf
GC_00005517;conifer;broadleaf
GC_00004725;conifer;broadleaf
GC_00004270;conifer;broadleaf
GC_00004625;conifer;broadleaf
GC_00006051;conifer;broadleaf
GC_00007609;conifer;broadleaf
GC_00011522;conifer;broadleaf
GC_00008385;conifer;broadleaf
GC_00003937;conifer;broadleaf
GC_00000190;conifer;broadleaf
GC_00005050;conifer;broadleaf
GC_00003610;conifer;broadleaf
GC_00009710;conifer;broadleaf
GC_00004578;conifer;broadleaf
GC_00003323;conifer;broadleaf
GC_00004409;conifer;broadleaf
GC_00010988;conifer;broadleaf
GC_00005321;conifer;broadleaf
GC_00008453;conifer;broadleaf
GC_00004544;conifer;broadleaf
GC_00002494;conifer;broadleaf
GC_00005368;conifer;broadleaf
GC_00005572;conifer;broadleaf
GC_00009083;conifer;broadleaf
GC_00002814;conifer;broadleaf
GC_00003765;conifer;broadleaf
GC_00004936;conifer;broadleaf
GC_00005394;conifer;broadleaf
GC_00004872;conifer;broadleaf
GC_00001885;conifer;broadleaf
GC_00004868;conifer;broadleaf
GC_00005366;conifer;broadleaf
GC_00004025;conifer;broadleaf
GC_00002168;conifer;broadleaf
GC_00005197;conifer;broadleaf
GC_00005244;conifer;broadleaf
GC_00005324;conifer;broadleaf
GC_00002978;conifer;broadleaf
GC_00000797;conifer;broadleaf
GC_00004534;conifer;broadleaf
GC_00005319;conifer;broadleaf
GC_00000539;conifer;broadleaf
GC_00003637;conifer;broadleaf
GC_00004041;conifer;broadleaf
GC_00004032;conifer;broadleaf
GC_00005505;conifer;broadleaf
GC_00003865;conifer;broadleaf
GC_00000130;conifer;broadleaf
GC_00002832;conifer;broadleaf
GC_00004784;conifer;broadleaf
GC_00006307;conifer;broadleaf
GC_00003544;conifer;broadleaf
GC_00005061;conifer;broadleaf
GC_00006844;conifer;broadleaf
GC_00001598;conifer;broadleaf
GC_00005499;conifer;broadleaf
GC_00006096;conifer;broadleaf
GC_00000461;conifer;broadleaf
GC_00004743;conifer;broadleaf
