short.name;strain;group;species
st206;XJLW;A;Meth_fujisawaense
st36;CBMB20;A;Meth_fujisawaense
st210;YL-MPn5-2016;A;Meth_fujisawaense
st57;DSM5686;A;Meth_fujisawaense
st37;CBMB27;A;Meth_fujisawaense
st190;UNCCL125;A;Meth_fujisawaense
st307;MANL1.2-SR18;A;Meth_fujisawaense
st189;UNCCL110;A;Meth_fujisawaense
st235;HYV3-SR18;A;Meth_fujisawaense
st301;PMPHAS6-SR18=b;A;Meth_fujisawaense
st309;CONTS2-SR18=a;A;Meth_fujisawaense
st160;NBRC107716;B;Meth_gnaphalii
st132;DSM21331T;D;Meth_goesingense
st69;Gh-105;D;Meth_gossipiicola
st237;HYV2-SR18;D;Meth_gossipiicola
st133;NBRC103626T;A;Meth_gregans
st158;NBRC107714;B;Meth_haplocladii
st134;DSM16372T;A;Meth_hispanicum
st39;CCH5-D2;A;Meth_hispanicum
st303;APS3.4-SR18=b;C;Meth_indicum
st290;MANL2.2-SR18=b;C;Meth_indicum
st261;TAOS4-SR18=b;C;Meth_indicum
st166;NS230;C;Meth_indicum
st165;NS229;C;Meth_indicum
st164;NS228;C;Meth_indicum
st181;SE2.11;C;Meth_indicum
st135;DSM19015T;D;Meth_iners
st136;DSM17168T;C;Meth_isbiliense
st137;LMG23639T;A;Meth_jeotgali
st138;DSM19563T;A;Meth_komagatae
st269;KUMS5-SR18;A;Meth_komagatae
st254;CK2S2-SR18;A;Meth_komagatae
st255;34S2-SR18;A;Meth_komagatae
st139;DSM23933T;A;Meth_longum
st65;E-046;A;Meth_longum
st140;DSM21328T;D;Meth_marchantiae
st141;NBRC15688T;A;Meth_mesophilicum
st167;ORS2060;C;Meth_nodulans
st17;6HR-1;C;Meth_nonmethylotrophicum
st216;WPA_B;B;Meth_organophilum
st142;NBRC15689T;B;Meth_organophilum
st185;TER-1;C;Meth_oryzihabitans
st159;NBRC107715;A;Meth_oxalidis
st143;NBRC103628T;A;Meth_persicinum
st30;BL47;A;Meth_phyllostachyos
st208;YIM132548;A;Meth_planium
st172;PMB0;C;Meth_platani
st154;DSM15083T;B;Meth_podarium
st29;BL36;A;Meth_pseudosasicola
st11;17Sr1-43;A;Meth_radiodurans
st68;ES_PA-B5;A;Meth_radiotolerans
st34;C1;A;Meth_radiotolerans
st233;GEZL2-SR18_LR;A;Meth_radiotolerans
st91;JCM2831;A;Meth_radiotolerans
st246;KUML1-SR18_LR;A;Meth_radiotolerans
st264;DALS4-SR18_LR;A;Meth_radiotolerans
st274;AMHL1-SR18_SR20_LR;A;Meth_radiotolerans
st281;AMHS2-SR18_LR;A;Meth_radiotolerans
st251;Combi-YGS3xYGL1-SR18_LR;A;Meth_radiotolerans
st59;DSM760;A;Meth_radiotolerans
st150;ME94;A;Meth_radiotolerans
st253;C3-SR18;A;Meth_radiotolerans
st247;DALL1-SR18;A;Meth_radiotolerans
st286;KUML2-SR18;A;Meth_radiotolerans
st249;W4-SR18;A;Meth_radiotolerans
st305;AMKS5-SR18=b;A;Meth_radiotolerans
st161;NBRC15690;A;Meth_radiotolerans
st252;PML2-SR18;A;Meth_radiotolerans
st282;ITS5-SR18;A;Meth_radiotolerans
st248;KAKS1-SR18;A;Meth_radiotolerans
st266;YGS2-SR18;A;Meth_radiotolerans
st287;MANGS3-SR20=b;A;Meth_radiotolerans
st250;KUM5-SR18;A;Meth_radiotolerans
st265;APL2-SR18;A;Meth_radiotolerans
st240;GEZS2-SR18;A;Meth_radiotolerans
st267;YGS3-SR18;A;Meth_radiotolerans
st179;RE1.2;A;Meth_radiotolerans
st296;PN5-SR18;A;Meth_radiotolerans
st297;KUM6-SR18;A;Meth_radiotolerans
