Phylum;Class;Order;Family;Genus
Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces
Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Curtobacterium
Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Microbacterium
Actinomycetota;Actinomycetes;Micromonosporales;Micromonosporaceae;Micromonospora
Actinomycetota;Actinomycetes;Micromonosporales;Micromonosporaceae;Actinoplanes
Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium
Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Nocardioides
Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Microlunatus
Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudocardiaceae;Amycolatopsis
Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus
Acidobacteriota;Terriglobia;Terriglobiales;Acidobacteriaceae;Granulicella
Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae;Spirosoma
Bacteroidota;Cytophagia;Cytophagales;Hymenobacteriaceae;Hymenobacter
Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae;Roseomonas
Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium
Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium
Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium
Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium
Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium
Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia
Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia
Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteriaceae;Xanthomonas
Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
na;na;na;na;Others
