
code	|	taxid	|	taxname	|	lineage
1	|	244127	|	Anaerotruncus	|	244127 216572 186802 186801 1239 1783272 2 131567 
1	|	2680020	|	Tautonia	|	2680020 1763524 2691356 203683 203682 1783257 2 131567 
1	|	59739	|	Flammeovirga	|	59739 200667 768507 768503 976 68336 1783270 2 131567 
1	|	104204	|	Streptomonospora	|	104204 83676 85012 1760 201174 1783272 2 131567 
1	|	1910931	|	Agatevirus	|	1910931 2560070 2560065 2731619 2731618 2731360 2731341 10239 
1	|	56112	|	Dehalobacter	|	56112 2937909 186802 186801 1239 1783272 2 131567 
1	|	1608298	|	Thiolapillus	|	1608298 3067276 135613 1236 1224 2 131567 
1	|	242605	|	Luteibacter	|	242605 1775411 135614 1236 1224 2 131567 
1	|	375928	|	Natranaerobius	|	375928 485255 485256 186801 1239 1783272 2 131567 
1	|	2795973	|	Stieleria	|	2795973 2691357 2691354 203683 203682 1783257 2 131567 
1	|	665874	|	Limnohabitans	|	665874 80864 80840 28216 1224 2 131567 
1	|	499	|	Thermomicrobium	|	499 189777 189776 189775 3027942 1783272 2 131567 
1	|	1649499	|	Swingsia	|	1649499 433 204441 28211 1224 2 131567 
1	|	44000	|	Caldicellulosiruptor	|	44000 3071002 3071001 2840488 1239 1783272 2 131567 
1	|	1348508	|	Roseimicrobium	|	1348508 203557 48461 203494 74201 1783257 2 131567 
1	|	3044713	|	Fajavirus	|	3044713 2731619 2731618 2731360 2731341 10239 
1	|	1177	|	Nostoc	|	1177 1162 1161 3028117 1117 1798711 1783272 2 131567 
1	|	292635	|	Laceyella	|	292635 186824 1385 91061 1239 1783272 2 131567 
1	|	1541445	|	Candidatus Phaeomarinobacter	|	1541445 2813035 356 28211 1224 2 131567 
1	|	2987605	|	Neopusillimonas	|	2987605 506 80840 28216 1224 2 131567 
1	|	2870712	|	Pararoseomonas	|	2870712 433 204441 28211 1224 2 131567 
1	|	146936	|	Azonexus	|	146936 2008795 206389 28216 1224 2 131567 
1	|	53387	|	Friedmanniella	|	53387 85015 85009 1760 201174 1783272 2 131567 
1	|	1914851	|	Seunavirus	|	1914851 1911928 2731619 2731618 2731360 2731341 10239 
1	|	574697	|	Butyricimonas	|	574697 1853231 171549 200643 976 68336 1783270 2 131567 
1	|	655184	|	Candidatus Thioglobus	|	655184 118884 1236 1224 2 131567 
1	|	2948828	|	Mosugukvirus	|	2948828 1198136 2946170 2731619 2731618 2731360 2731341 10239 
1	|	1854	|	Frankia	|	1854 74712 85013 1760 201174 1783272 2 131567 
1	|	2943020	|	Zhonglingvirus	|	2943020 2943001 2731619 2731618 2731360 2731341 10239 
1	|	160798	|	Marinitoga	|	160798 1643949 1643947 188708 200918 2 131567 
1	|	1623303	|	Brussowvirus	|	1623303 3044455 2731619 2731618 2731360 2731341 10239 
1	|	1623285	|	Corndogvirus	|	1623285 2731619 2731618 2731360 2731341 10239 
1	|	2060	|	Tsukamurella	|	2060 85028 85007 1760 201174 1783272 2 131567 
1	|	1649454	|	Glaciihabitans	|	1649454 85023 85006 1760 201174 1783272 2 131567 
1	|	1826864	|	Candidatus Nitrosocosmicus	|	1826864 1033997 1033996 1643678 651137 1783275 2157 131567 
1	|	3044806	|	Rollinsvirus	|	3044806 3044473 2731619 2731618 2731360 2731341 10239 
1	|	2675233	|	Metabacillus	|	2675233 186817 1385 91061 1239 1783272 2 131567 
1	|	2948686	|	Duamitovirus	|	2948686 2732892 2732503 2732499 2732407 2732396 2559587 10239 
1	|	2805645	|	Pedococcus	|	2805645 85021 85006 1760 201174 1783272 2 131567 
1	|	1980922	|	Chiangmaivirus	|	1980922 2731619 2731618 2731360 2731341 10239 
1	|	43773	|	Syntrophus	|	43773 213468 2914038 3031648 200940 2 131567 
1	|	93217	|	Pandoraea	|	93217 119060 80840 28216 1224 2 131567 
1	|	2812025	|	Syntrophotalea	|	2812025 2812024 69541 3031651 200940 2 131567 
1	|	1747777	|	Cuniculiplasma	|	1747777 1747776 2301 183967 2283796 3366610 2157 131567 
1	|	586	|	Providencia	|	586 1903414 91347 1236 1224 2 131567 
1	|	11646	|	Lentivirus	|	11646 327045 11632 2169561 2732514 2732409 2732397 2559587 10239 
1	|	2038	|	Tropheryma	|	2038 2805591 85006 1760 201174 1783272 2 131567 
1	|	3024237	|	Solicola	|	3024237 85015 85009 1760 201174 1783272 2 131567 
1	|	347533	|	Zobellella	|	347533 84642 135624 1236 1224 2 131567 
1	|	1906945	|	Parageobacillus	|	1906945 186817 1385 91061 1239 1783272 2 131567 
1	|	192992	|	Thermoleophilum	|	192992 320796 588674 1497346 201174 1783272 2 131567 
1	|	2803850	|	Mammaliicoccus	|	2803850 90964 1385 91061 1239 1783272 2 131567 
1	|	2733200	|	Oneupvirus	|	2733200 2731619 2731618 2731360 2731341 10239 
1	|	2946811	|	Aurodevirus	|	2946811 2942977 2942966 1978007 2731619 2731618 2731360 2731341 10239 
1	|	3044838	|	Syrbvirus	|	3044838 2731619 2731618 2731360 2731341 10239 
1	|	2919626	|	Alloyangia	|	2919626 2854170 204455 28211 1224 2 131567 
1	|	1076625	|	Candidatus Steffania	|	1076625 118884 1236 1224 2 131567 
1	|	150247	|	Anoxybacillus	|	150247 186817 1385 91061 1239 1783272 2 131567 
1	|	2349	|	Haliscomenobacter	|	2349 1937961 1936988 1937959 976 68336 1783270 2 131567 
1	|	2005386	|	Arabiibacter	|	2005386 1643826 1643822 84998 201174 1783272 2 131567 
1	|	231454	|	Dyella	|	231454 1775411 135614 1236 1224 2 131567 
1	|	2692417	|	Ktedonosporobacter	|	2692417 2692416 388448 388447 200795 1783272 2 131567 
1	|	1897649	|	Pistricoccus	|	1897649 28256 135619 1236 1224 2 131567 
1	|	335927	|	Thalassovita	|	335927 2854170 204455 28211 1224 2 131567 
1	|	2560150	|	Ilzatvirus	|	2560150 2731619 2731618 2731360 2731341 10239 
1	|	2094023	|	Glaesserella	|	2094023 712 135625 1236 1224 2 131567 
1	|	222	|	Achromobacter	|	222 506 80840 28216 1224 2 131567 
1	|	283785	|	Bizionia	|	283785 49546 200644 117743 976 68336 1783270 2 131567 
1	|	65551	|	Meiothermus	|	65551 188786 68933 188787 1297 1783272 2 131567 
1	|	2948641	|	Bromdenvirus	|	2948641 2946636 2946173 2731619 2731618 2731360 2731341 10239 
1	|	2233801	|	Ahniella	|	2233801 1775411 135614 1236 1224 2 131567 
1	|	265488	|	Rhodopirellula	|	265488 2691357 2691354 203683 203682 1783257 2 131567 
1	|	504090	|	Kushneria	|	504090 28256 135619 1236 1224 2 131567 
1	|	292632	|	Subdoligranulum	|	292632 216572 186802 186801 1239 1783272 2 131567 
1	|	1330546	|	Pluralibacter	|	1330546 543 91347 1236 1224 2 131567 
1	|	651456	|	Kosmotoga	|	651456 1643948 1643946 188708 200918 2 131567 
1	|	2661818	|	Saliniradius	|	2661818 72275 135622 1236 1224 2 131567 
1	|	2289	|	Desulfobacter	|	2289 213119 213118 3024418 200940 2 131567 
1	|	2843421	|	Menderavirus	|	2843421 2731619 2731618 2731360 2731341 10239 
1	|	81682	|	Methylovorus	|	81682 32011 32003 28216 1224 2 131567 
1	|	2733165	|	Appavirus	|	2733165 2731619 2731618 2731360 2731341 10239 
1	|	326319	|	Dokdonia	|	326319 49546 200644 117743 976 68336 1783270 2 131567 
1	|	1647175	|	Aestuariispira	|	1647175 597359 204441 28211 1224 2 131567 
1	|	28895	|	Thermoanaerobacterium	|	28895 186814 68295 186801 1239 1783272 2 131567 
1	|	2560092	|	Aphroditevirus	|	2560092 2842518 2731619 2731618 2731360 2731341 10239 
1	|	2888809	|	Novisyntrophococcus	|	2888809 186803 3085636 186801 1239 1783272 2 131567 
1	|	376469	|	Olivibacter	|	376469 84566 200666 117747 976 68336 1783270 2 131567 
1	|	1911556	|	Sediminispirochaeta	|	1911556 137 136 203692 203691 2 131567 
1	|	1827195	|	Caballeronia	|	1827195 119060 80840 28216 1224 2 131567 
1	|	2843436	|	Plateaulakevirus	|	2843436 2731619 2731618 2731360 2731341 10239 
1	|	267986	|	Owenweeksia	|	267986 3024551 200644 117743 976 68336 1783270 2 131567 
1	|	461	|	Fluoribacter	|	461 444 118969 1236 1224 2 131567 
1	|	1513308	|	Velarivirus	|	1513308 69973 2732544 2732461 2732406 2732396 2559587 10239 
1	|	2803301	|	Poriferisphaera	|	2803301 666507 666506 666505 203682 1783257 2 131567 
1	|	2843016	|	Salchichonvirus	|	2843016 2560065 2731619 2731618 2731360 2731341 10239 
1	|	935200	|	Sulfuricella	|	935200 2772226 32003 28216 1224 2 131567 
1	|	1759396	|	Marivivens	|	1759396 3020825 31989 204455 28211 1224 2 131567 
1	|	2714594	|	Bremerella	|	2714594 2691357 2691354 203683 203682 1783257 2 131567 
1	|	2894574	|	Saccharobesus	|	2894574 72275 135622 1236 1224 2 131567 
1	|	1274351	|	Kroppenstedtia	|	1274351 186824 1385 91061 1239 1783272 2 131567 
1	|	2838311	|	Natronoglycomyces	|	2838311 85034 85014 1760 201174 1783272 2 131567 
1	|	1198	|	Phormidium	|	1198 1892254 1150 1301283 3028117 1117 1798711 1783272 2 131567 
1	|	447467	|	Simiduia	|	447467 1706371 1706369 1236 1224 2 131567 
1	|	1769718	|	Athalassotoga	|	1769718 1769717 1769716 188708 200918 2 131567 
1	|	133193	|	Alkalilimnicola	|	133193 72276 135613 1236 1224 2 131567 
1	|	1714268	|	Alphasphaerolipovirus	|	1714268 1714267 2732011 2732010 2732009 2732006 2732004 10239 
1	|	10981	|	Cypovirus	|	10981 2946187 2732541 2732459 2732405 2732396 2559587 10239 
1	|	305976	|	Pusillimonas	|	305976 506 80840 28216 1224 2 131567 
1	|	2169636	|	Nymphadoravirus	|	2169636 2169601 2731619 2731618 2731360 2731341 10239 
1	|	155862	|	Methanothermococcus	|	155862 2183 2182 183939 2283794 28890 3366610 2157 131567 
1	|	2795783	|	Pirellulimonas	|	2795783 2691359 2691354 203683 203682 1783257 2 131567 
1	|	11155	|	Torovirus	|	11155 694017 2508209 2499403 76804 2732506 2732408 2732396 2559587 10239 
1	|	1730	|	Eubacterium	|	1730 186806 186802 186801 1239 1783272 2 131567 
1	|	109168	|	Desulfotalea	|	109168 2886822 3024411 3031451 200940 2 131567 
1	|	2951107	|	Leadbettera	|	2951107 2951104 136 203692 203691 2 131567 
1	|	34019	|	Liberibacter	|	34019 82115 356 28211 1224 2 131567 
1	|	46631	|	Picrophilus	|	46631 46630 2301 183967 2283796 3366610 2157 131567 
1	|	140052	|	Betaretrovirus	|	140052 327045 11632 2169561 2732514 2732409 2732397 2559587 10239 
1	|	2946794	|	Amginevirus	|	2946794 2946648 2731619 2731618 2731360 2731341 10239 
1	|	2045416	|	Oceanihabitans	|	2045416 49546 200644 117743 976 68336 1783270 2 131567 
1	|	455076	|	Rhodocytophaga	|	455076 89373 768507 768503 976 68336 1783270 2 131567 
1	|	2843019	|	Sanyabayvirus	|	2843019 2842422 2842329 2731619 2731618 2731360 2731341 10239 
1	|	2948694	|	Elemovirus	|	2948694 2731619 2731618 2731360 2731341 10239 
1	|	2613912	|	Conexivisphaera	|	2613912 2798276 2798275 2798274 651137 1783275 2157 131567 
1	|	2856573	|	Infirmifilum	|	2856573 114378 2856582 183924 28889 1783275 2157 131567 
1	|	1857845	|	Okubovirus	|	1857845 857473 2560065 2731619 2731618 2731360 2731341 10239 
1	|	1912215	|	Acidipropionibacterium	|	1912215 31957 85009 1760 201174 1783272 2 131567 
1	|	2732932	|	Risjevirus	|	2732932 2731651 2731643 2731619 2731618 2731360 2731341 10239 
1	|	893	|	Desulfobulbus	|	893 213121 3024411 3031451 200940 2 131567 
1	|	2560148	|	Iapetusvirus	|	2560148 2731619 2731618 2731360 2731341 10239 
1	|	241192	|	Thermodesulfatator	|	241192 3031464 188710 67799 200940 2 131567 
1	|	1988031	|	Candidatus Promineifilum	|	1988031 3085097 3085098 1382928 200795 1783272 2 131567 
1	|	2767882	|	Furfurilactobacillus	|	2767882 33958 186826 91061 1239 1783272 2 131567 
1	|	2357	|	Desulfomonile	|	2357 3031658 3031657 3031650 200940 2 131567 
1	|	1400133	|	Allobacillus	|	1400133 186817 1385 91061 1239 1783272 2 131567 
1	|	958	|	Bdellovibrio	|	958 213483 213481 3031418 3018035 2 131567 
1	|	2601574	|	Candidatus Cytomitobacter	|	2601574 44746 1921002 28211 1224 2 131567 
1	|	1494427	|	Tepidibacillus	|	1494427 186817 1385 91061 1239 1783272 2 131567 
1	|	2733168	|	Attoomivirus	|	2733168 2731619 2731618 2731360 2731341 10239 
1	|	13075	|	Globicatella	|	13075 186827 186826 91061 1239 1783272 2 131567 
1	|	2560176	|	Mimasvirus	|	2560176 2731619 2731618 2731360 2731341 10239 
1	|	2834378	|	Entomospira	|	2834378 137 136 203692 203691 2 131567 
1	|	1511853	|	Alphanudivirus	|	1511853 1511852 2840070 2840056 10239 
1	|	118	|	Planctomyces	|	118 126 112 203683 203682 1783257 2 131567 
1	|	742914	|	Cyclovirus	|	742914 39724 2732536 2732423 2732416 2732092 2731342 10239 
1	|	2997360	|	Anaeropeptidivorans	|	2997360 186803 3085636 186801 1239 1783272 2 131567 
1	|	2249	|	Halococcus	|	2249 1963270 2235 183963 2290931 28890 3366610 2157 131567 
1	|	2501366	|	Loanvirus	|	2501366 2560074 1980413 1980410 2497576 2497571 2497569 2732396 2559587 10239 
1	|	10492	|	Ranavirus	|	10492 2017756 10486 2732555 2732523 2732007 2732005 2732004 10239 
1	|	1513458	|	Marseillevirus	|	1513458 944644 2732555 2732523 2732007 2732005 2732004 10239 
1	|	517	|	Bordetella	|	517 506 80840 28216 1224 2 131567 
1	|	2733204	|	Rogerhendrixvirus	|	2733204 2731619 2731618 2731360 2731341 10239 
1	|	2806252	|	Haloglomus	|	2806252 1963268 2235 183963 2290931 28890 3366610 2157 131567 
1	|	412592	|	Thermosulfidibacter	|	412592 3120748 3120453 3118679 3123113 2 131567 
1	|	1518147	|	Wenyingzhuangia	|	1518147 49546 200644 117743 976 68336 1783270 2 131567 
1	|	2169653	|	Doucettevirus	|	2169653 2731619 2731618 2731360 2731341 10239 
1	|	397864	|	Barnesiella	|	397864 2005519 171549 200643 976 68336 1783270 2 131567 
1	|	293088	|	Martelella	|	293088 255475 356 28211 1224 2 131567 
1	|	2843047	|	Siophivirus	|	2843047 2560070 2560065 2731619 2731618 2731360 2731341 10239 
1	|	2920401	|	Natronosporangium	|	2920401 28056 85008 1760 201174 1783272 2 131567 
1	|	2948781	|	Keshuvirus	|	2948781 2946648 2731619 2731618 2731360 2731341 10239 
1	|	55079	|	Aneurinibacillus	|	55079 85151 186822 1385 91061 1239 1783272 2 131567 
1	|	57665	|	Sulfurospirillum	|	57665 2932623 213849 3031852 29547 2 131567 
1	|	2560251	|	Vividuovirus	|	2560251 2731619 2731618 2731360 2731341 10239 
1	|	1742636	|	Candidatus Megaera	|	1742636 775 766 28211 1224 2 131567 
1	|	744724	|	Halarchaeum	|	744724 2236 2235 183963 2290931 28890 3366610 2157 131567 
1	|	2035811	|	Pseudodesulfovibrio	|	2035811 194924 213115 3031449 200940 2 131567 
1	|	171868	|	Thermovibrio	|	171868 558314 1485951 187857 200783 2 131567 
1	|	194195	|	Alysiella	|	194195 481 206351 28216 1224 2 131567 
1	|	1185408	|	Defluviitalea	|	1185408 1185407 3085636 186801 1239 1783272 2 131567 
1	|	191303	|	Turicibacter	|	191303 2810281 526525 526524 1239 1783272 2 131567 
1	|	2303528	|	Thermoleptolyngbya	|	2303528 2303507 3079748 3028117 1117 1798711 1783272 2 131567 
1	|	1843210	|	Anaerocolumna	|	1843210 186803 3085636 186801 1239 1783272 2 131567 
1	|	2885697	|	Gephyromycinifex	|	2885697 85018 85006 1760 201174 1783272 2 131567 
1	|	400634	|	Lysinibacillus	|	400634 186817 1385 91061 1239 1783272 2 131567 
1	|	267849	|	Nitrincola	|	267849 135620 135619 1236 1224 2 131567 
1	|	2824158	|	Aquirhabdus	|	2824158 468 2887326 1236 1224 2 131567 
1	|	687331	|	Alphatorquevirus	|	687331 687329 10239 
1	|	1007082	|	Nitrosarchaeum	|	1007082 338190 31932 1643678 651137 1783275 2157 131567 
1	|	2948660	|	Chaovirus	|	2948660 2946172 2731619 2731618 2731360 2731341 10239 
1	|	2800685	|	Pelagerythrobacter	|	2800685 335929 204457 28211 1224 2 131567 
1	|	2903105	|	Alteracholeplasma	|	2903105 2146 186329 31969 544448 1783272 2 131567 
1	|	33042	|	Coprococcus	|	33042 186803 3085636 186801 1239 1783272 2 131567 
1	|	666508	|	Phycisphaera	|	666508 666507 666506 666505 203682 1783257 2 131567 
1	|	105	|	Runella	|	105 2896860 768507 768503 976 68336 1783270 2 131567 
1	|	2049885	|	Vendettavirus	|	2049885 2946645 2731619 2731618 2731360 2731341 10239 
1	|	1184606	|	Austwickia	|	1184606 85018 85006 1760 201174 1783272 2 131567 
1	|	986106	|	Acidiferrobacter	|	986106 1692041 1692040 1236 1224 2 131567 
1	|	367188	|	Haladaptatus	|	367188 3064797 2235 183963 2290931 28890 3366610 2157 131567 
1	|	227388	|	Thermodesulfobium	|	227388 227387 3002444 3002443 3002442 2 131567 
1	|	160674	|	Raoultella	|	160674 2890311 543 91347 1236 1224 2 131567 
1	|	2560190	|	Noxifervirus	|	2560190 2731619 2731618 2731360 2731341 10239 
1	|	1985303	|	Mooglevirus	|	1985303 1985285 2731619 2731618 2731360 2731341 10239 
1	|	10814	|	Begomovirus	|	10814 10811 2732539 2732424 2732416 2732092 2731342 10239 
1	|	801	|	Symbiopectobacterium	|	801 84563 191675 543 91347 1236 1224 2 131567 
1	|	379	|	Rhizobium	|	379 227290 82115 356 28211 1224 2 131567 
1	|	1982088	|	Mudcatvirus	|	1982088 2731619 2731618 2731360 2731341 10239 
1	|	118747	|	Bulleidia	|	118747 128827 526525 526524 1239 1783272 2 131567 
1	|	929812	|	Gibbsiella	|	929812 1903411 91347 1236 1224 2 131567 
1	|	1904377	|	Acuticoccus	|	1904377 2685818 356 28211 1224 2 131567 
1	|	2483368	|	Sedimentisphaera	|	2483368 2483367 2483366 666505 203682 1783257 2 131567 
1	|	2494209	|	Capsulimonas	|	2494209 2494208 2494207 1042312 67819 1783272 2 131567 
1	|	1535207	|	Barrientosiimonas	|	1535207 145357 85006 1760 201174 1783272 2 131567 
1	|	3044827	|	Siatvirus	|	3044827 2731619 2731618 2731360 2731341 10239 
1	|	46352	|	Agrococcus	|	46352 85023 85006 1760 201174 1783272 2 131567 
1	|	3029078	|	Aminithiophilus	|	3029078 3029085 649776 649775 508458 2 131567 
1	|	2847777	|	Atribacter	|	2847777 2847776 2847775 2847774 67818 2 131567 
1	|	1980937	|	Emdodecavirus	|	1980937 2731619 2731618 2731360 2731341 10239 
1	|	2804231	|	Lederbergia	|	2804231 186817 1385 91061 1239 1783272 2 131567 
1	|	2038280	|	Robbsia	|	2038280 119060 80840 28216 1224 2 131567 
1	|	2685905	|	Salicibibacter	|	2685905 186817 1385 91061 1239 1783272 2 131567 
1	|	158851	|	Trabulsiella	|	158851 543 91347 1236 1224 2 131567 
1	|	2894767	|	Desulfomarina	|	2894767 213121 3024411 3031451 200940 2 131567 
1	|	207244	|	Anaerostipes	|	207244 186803 3085636 186801 1239 1783272 2 131567 
1	|	1857011	|	Lysinibacter	|	1857011 85023 85006 1760 201174 1783272 2 131567 
1	|	1249016	|	Otariodibacter	|	1249016 712 135625 1236 1224 2 131567 
1	|	816	|	Bacteroides	|	816 815 171549 200643 976 68336 1783270 2 131567 
1	|	265976	|	Serinicoccus	|	265976 2805590 85006 1760 201174 1783272 2 131567 
1	|	2951106	|	Gracilinema	|	2951106 2951104 136 203692 203691 2 131567 
1	|	2795692	|	Nitrosophilus	|	2795692 2795691 235899 3031852 29547 2 131567 
1	|	423349	|	Mucilaginibacter	|	423349 84566 200666 117747 976 68336 1783270 2 131567 
1	|	129876	|	Siadenovirus	|	129876 10508 2732559 2732529 2732008 2732005 2732004 10239 
1	|	1982101	|	Bernalvirus	|	1982101 2731619 2731618 2731360 2731341 10239 
1	|	2948937	|	Typhavirus	|	2948937 2731619 2731618 2731360 2731341 10239 
1	|	68335	|	Coprothermobacter	|	68335 2138247 2138246 2138243 2138240 2 131567 
1	|	2560215	|	Ripduovirus	|	2560215 2731619 2731618 2731360 2731341 10239 
1	|	2732969	|	Baoshanvirus	|	2732969 2560081 2560065 2731619 2731618 2731360 2731341 10239 
1	|	1301	|	Streptococcus	|	1301 1300 186826 91061 1239 1783272 2 131567 
1	|	10319	|	Varicellovirus	|	10319 10293 3044472 548681 2731363 2731361 2731360 2731341 10239 
1	|	548689	|	Proboscivirus	|	548689 10357 3044472 548681 2731363 2731361 2731360 2731341 10239 
1	|	129001	|	Syntrophothermus	|	129001 68298 186802 186801 1239 1783272 2 131567 
1	|	629	|	Yersinia	|	629 1903411 91347 1236 1224 2 131567 
1	|	2948726	|	Gladiatorvirus	|	2948726 2731619 2731618 2731360 2731341 10239 
1	|	1982557	|	Smoothievirus	|	1982557 2731619 2731618 2731360 2731341 10239 
1	|	2794837	|	Schnuerera	|	2794837 2992719 1737405 1737404 1239 1783272 2 131567 
1	|	254250	|	Isoptericola	|	254250 85017 85006 1760 201174 1783272 2 131567 
1	|	693222	|	Gloeocapsopsis	|	693222 1890464 1118 1301283 3028117 1117 1798711 1783272 2 131567 
1	|	1434026	|	Oceanirhabdus	|	1434026 31979 186802 186801 1239 1783272 2 131567 
1	|	2237	|	Haloarcula	|	2237 1963268 2235 183963 2290931 28890 3366610 2157 131567 
1	|	1525371	|	Neorhizobium	|	1525371 227290 82115 356 28211 1224 2 131567 
1	|	3044869	|	Zhoulongquanvirus	|	3044869 2946160 2731619 2731618 2731360 2731341 10239 
1	|	637	|	Arsenophonus	|	637 1903414 91347 1236 1224 2 131567 
1	|	2948809	|	Macariavirus	|	2948809 2946160 2731619 2731618 2731360 2731341 10239 
1	|	2023	|	Thermoactinomyces	|	2023 186824 1385 91061 1239 1783272 2 131567 
1	|	152053	|	Starkeya	|	152053 335928 356 28211 1224 2 131567 
1	|	3044730	|	Heverleevirus	|	3044730 3044473 2731619 2731618 2731360 2731341 10239 
1	|	34069	|	Telluria	|	34069 2895353 75682 80840 28216 1224 2 131567 
1	|	1905344	|	Ruthenibacterium	|	1905344 216572 186802 186801 1239 1783272 2 131567 
1	|	1492710	|	Oxynema	|	1492710 1892254 1150 1301283 3028117 1117 1798711 1783272 2 131567 
1	|	2948640	|	Bristolvirus	|	2948640 2946160 2731619 2731618 2731360 2731341 10239 
1	|	2013	|	Nocardiopsis	|	2013 83676 85012 1760 201174 1783272 2 131567 
1	|	1827	|	Rhodococcus	|	1827 85025 85007 1760 201174 1783272 2 131567 
1	|	2948697	|	Endlipuvirus	|	2948697 2942972 2942964 1978007 2731619 2731618 2731360 2731341 10239 
1	|	2780488	|	Thiosocius	|	2780488 3067276 135613 1236 1224 2 131567 
1	|	2842592	|	Chahsmivirus	|	2842592 2842319 2842247 2842243 2732407 2732396 2559587 10239 
1	|	2948865	|	Phrappuccinovirus	|	2948865 2731619 2731618 2731360 2731341 10239 
1	|	776	|	Coxiella	|	776 118968 118969 1236 1224 2 131567 
1	|	1706036	|	Gemmatirosa	|	1706036 219687 219686 219685 142182 1783270 2 131567 
1	|	2843351	|	Audreyjarvisvirus	|	2843351 2731619 2731618 2731360 2731341 10239 
1	|	156885	|	Thioflavicoccus	|	156885 1046 135613 1236 1224 2 131567 
1	|	32	|	Myxococcus	|	32 31 80811 29 32015 2818505 2 131567 
1	|	49277	|	Psychroserpens	|	49277 49546 200644 117743 976 68336 1783270 2 131567 
1	|	2905722	|	Oceanidesulfovibrio	|	2905722 194924 213115 3031449 200940 2 131567 
1	|	2981344	|	Xiamenia	|	2981344 1643826 1643822 84998 201174 1783272 2 131567 
1	|	3076173	|	Macrococcoides	|	3076173 90964 1385 91061 1239 1783272 2 131567 
1	|	1649486	|	Rhizorhabdus	|	1649486 41297 204457 28211 1224 2 131567 
1	|	1649480	|	Planctopirus	|	1649480 126 112 203683 203682 1783257 2 131567 
1	|	2948824	|	Minorvirus	|	2948824 2946190 2942680 2731619 2731618 2731360 2731341 10239 
1	|	1921704	|	Tegunavirus	|	1921704 1198136 2946170 2731619 2731618 2731360 2731341 10239 
1	|	146918	|	Salinibacter	|	146918 1853225 1853224 1853222 1853220 68336 1783270 2 131567 
1	|	2948706	|	Finchvirus	|	2948706 2731619 2731618 2731360 2731341 10239 
1	|	1985711	|	Friunavirus	|	1985711 2731645 2731643 2731619 2731618 2731360 2731341 10239 
1	|	2078575	|	Psychromicrobium	|	2078575 1268 85006 1760 201174 1783272 2 131567 
1	|	1160973	|	Auritidibacter	|	1160973 1268 85006 1760 201174 1783272 2 131567 
1	|	2560139	|	Getseptimavirus	|	2560139 2731619 2731618 2731360 2731341 10239 
1	|	252965	|	Mahella	|	252965 543372 68295 186801 1239 1783272 2 131567 
1	|	238749	|	Diaphorobacter	|	238749 80864 80840 28216 1224 2 131567 
1	|	409304	|	Candidatus Ishikawella	|	409304 543 91347 1236 1224 2 131567 
1	|	152267	|	Pigmentiphaga	|	152267 506 80840 28216 1224 2 131567 
1	|	2943184	|	Tannockella	|	2943184 2810280 526525 526524 1239 1783272 2 131567 
1	|	73918	|	Thermaerobacter	|	73918 539000 538999 186802 186801 1239 1783272 2 131567 
1	|	2795774	|	Polystyrenella	|	2795774 126 112 203683 203682 1783257 2 131567 
1	|	146	|	Spirochaeta	|	146 137 136 203692 203691 2 131567 
1	|	2842785	|	Karezivirus	|	2842785 2842425 2842328 2731619 2731618 2731360 2731341 10239 
1	|	2239	|	Halobacterium	|	2239 2236 2235 183963 2290931 28890 3366610 2157 131567 
1	|	1754	|	Thermoanaerobacter	|	1754 186814 68295 186801 1239 1783272 2 131567 
1	|	256846	|	Lentisphaera	|	256846 566277 278081 1313211 256845 1783257 2 131567 
1	|	182639	|	Kribbella	|	182639 2726069 85009 1760 201174 1783272 2 131567 
1	|	2529408	|	Schaalia	|	2529408 2049 2037 1760 201174 1783272 2 131567 
1	|	161492	|	Anaeromyxobacter	|	161492 1524215 80811 29 32015 2818505 2 131567 
1	|	1649468	|	Melaminivora	|	1649468 80864 80840 28216 1224 2 131567 
1	|	32014	|	Iodobacter	|	32014 2897177 206351 28216 1224 2 131567 
1	|	1860	|	Geodermatophilus	|	1860 85030 1643682 1760 201174 1783272 2 131567 
1	|	1594166	|	Oricola	|	1594166 2829814 356 28211 1224 2 131567 
1	|	2733220	|	Vojvodinavirus	|	2733220 2946644 2946162 2731619 2731618 2731360 2731341 10239 
1	|	1913654	|	Gaprivervirus	|	1913654 1198136 2946170 2731619 2731618 2731360 2731341 10239 
1	|	321315	|	Sphaerisporangium	|	321315 2004 85012 1760 201174 1783272 2 131567 
1	|	1348611	|	Vallitalea	|	1348611 2603322 3085636 186801 1239 1783272 2 131567 
1	|	2948802	|	Lilmcdreamyvirus	|	2948802 1982876 2731619 2731618 2731360 2731341 10239 
1	|	2944815	|	Wielerella	|	2944815 481 206351 28216 1224 2 131567 
1	|	680287	|	Rosenblumvirus	|	680287 2732588 2842327 2731619 2731618 2731360 2731341 10239 
1	|	3044855	|	Wollypogvirus	|	3044855 2731619 2731618 2731360 2731341 10239 
1	|	2422	|	Fervidobacterium	|	2422 1643950 2419 188708 200918 2 131567 
1	|	186188	|	Xylanimonas	|	186188 85017 85006 1760 201174 1783272 2 131567 
1	|	85	|	Hyphomonas	|	85 69657 2800060 28211 1224 2 131567 
1	|	1763827	|	Hankyongella	|	1763827 41297 204457 28211 1224 2 131567 
1	|	2733196	|	Montyvirus	|	2733196 2731619 2731618 2731360 2731341 10239 
