
code	|	taxid	|	taxname	|	lineage
1	|	1982239	|	Nipunavirus	|	1982239 2842528 2731619 2731618 2731360 2731341 10239 
1	|	88875	|	Ferribacterium	|	88875 2008795 206389 28216 1224 2 131567 
1	|	1522056	|	Flaviflexus	|	1522056 2049 2037 1760 201174 1783272 2 131567 
1	|	472825	|	Candidatus Purcelliella	|	472825 84563 191675 543 91347 1236 1224 2 131567 
1	|	577469	|	Demequina	|	577469 1042322 85006 1760 201174 1783272 2 131567 
1	|	1857889	|	Silviavirus	|	1857889 2560081 2560065 2731619 2731618 2731360 2731341 10239 
1	|	379065	|	Caldalkalibacillus	|	379065 186817 1385 91061 1239 1783272 2 131567 
1	|	1521255	|	Candidatus Paracaedibacter	|	1521255 1777752 1921002 28211 1224 2 131567 
1	|	2948656	|	Celiavirus	|	2948656 1982875 2731619 2731618 2731360 2731341 10239 
1	|	2948728	|	Glaucusvirus	|	2948728 2946160 2731619 2731618 2731360 2731341 10239 
1	|	2948806	|	Lowelvirus	|	2948806 2946160 2731619 2731618 2731360 2731341 10239 
1	|	2789201	|	Candidatus Velamenicoccus	|	2789201 67812 1783257 2 131567 
1	|	1285593	|	Muscavirus	|	1285593 1285590 2840070 2840056 10239 
1	|	411566	|	Candidatus Midichloria	|	411566 1328881 766 28211 1224 2 131567 
1	|	1505652	|	Terrisporobacter	|	1505652 186804 3082720 186801 1239 1783272 2 131567 
1	|	1524217	|	Labilithrix	|	1524217 1524216 3031712 3031711 2818505 2 131567 
1	|	2843133	|	Whietlevirus	|	2843133 2842319 2842247 2842243 2732407 2732396 2559587 10239 
1	|	1922243	|	Sextaecvirus	|	1922243 2731619 2731618 2731360 2731341 10239 
1	|	2948913	|	Sokavirus	|	2948913 2946160 2731619 2731618 2731360 2731341 10239 
1	|	401618	|	Candidatus Riesia	|	401618 543 91347 1236 1224 2 131567 
1	|	10260	|	Avipoxvirus	|	10260 10241 10240 2732527 2732525 2732007 2732005 2732004 10239 
1	|	2593687	|	Aquella	|	2593687 481 206351 28216 1224 2 131567 
1	|	35812	|	Roseococcus	|	35812 433 204441 28211 1224 2 131567 
1	|	267408	|	Arsenicicoccus	|	267408 85021 85006 1760 201174 1783272 2 131567 
1	|	2884243	|	Musicola	|	2884243 1903410 91347 1236 1224 2 131567 
1	|	1408194	|	Endomicrobium	|	1408194 1783343 1783344 447830 74152 2 131567 
1	|	1230698	|	Marisediminicola	|	1230698 85023 85006 1760 201174 1783272 2 131567 
1	|	2651279	|	Pradoshia	|	2651279 186817 1385 91061 1239 1783272 2 131567 
1	|	278993	|	Thermincola	|	278993 2937911 186802 186801 1239 1783272 2 131567 
1	|	2719231	|	Lacrimispora	|	2719231 186803 3085636 186801 1239 1783272 2 131567 
1	|	2893056	|	Halalkalibacter	|	2893056 186817 1385 91061 1239 1783272 2 131567 
1	|	3044708	|	Emnonavirus	|	3044708 3044473 2731619 2731618 2731360 2731341 10239 
1	|	2842573	|	Bundooravirus	|	2842573 2842328 2731619 2731618 2731360 2731341 10239 
1	|	28073	|	Lyngbya	|	28073 1892252 1150 1301283 3028117 1117 1798711 1783272 2 131567 
1	|	1223423	|	Neokomagataea	|	1223423 433 204441 28211 1224 2 131567 
1	|	2948662	|	Chrysonvirus	|	2948662 2946170 2731619 2731618 2731360 2731341 10239 
1	|	3044782	|	Orthoflavivirus	|	3044782 11050 2732545 2732462 2732406 2732396 2559587 10239 
1	|	2842727	|	Henunavirus	|	2842727 1911928 2731619 2731618 2731360 2731341 10239 
1	|	9605	|	Homo	|	9605 207598 9604 314295 9526 314293 376913 9443 314146 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	10275	|	Suipoxvirus	|	10275 10241 10240 2732527 2732525 2732007 2732005 2732004 10239 
1	|	59613	|	Skermania	|	59613 85026 85007 1760 201174 1783272 2 131567 
1	|	906	|	Megasphaera	|	906 31977 1843489 909932 1239 1783272 2 131567 
1	|	1839	|	Nocardioides	|	1839 85015 85009 1760 201174 1783272 2 131567 
1	|	2743582	|	Peptacetobacter	|	2743582 186804 3082720 186801 1239 1783272 2 131567 
1	|	1866954	|	Varunaivibrio	|	1866954 3031143 204441 28211 1224 2 131567 
1	|	1663717	|	Herbinix	|	1663717 186803 3085636 186801 1239 1783272 2 131567 
1	|	156993	|	Reichenbachiella	|	156993 2762302 768507 768503 976 68336 1783270 2 131567 
1	|	2019482	|	Brevefilum	|	2019482 292628 292629 292625 200795 1783272 2 131567 
1	|	196119	|	Methanotorris	|	196119 196117 2182 183939 2283794 28890 3366610 2157 131567 
1	|	561555	|	Zhouia	|	561555 49546 200644 117743 976 68336 1783270 2 131567 
1	|	2733105	|	Goslarvirus	|	2733105 2731619 2731618 2731360 2731341 10239 
1	|	3050007	|	Fontisphaera	|	3050007 3050006 134621 203494 74201 1783257 2 131567 
1	|	357	|	Agrobacterium	|	357 227290 82115 356 28211 1224 2 131567 
1	|	2946607	|	Neotabrizicola	|	2946607 31989 204455 28211 1224 2 131567 
1	|	2302	|	Thermoplasma	|	2302 46659 2301 183967 2283796 3366610 2157 131567 
1	|	1920762	|	Litunavirus	|	1920762 2842417 2842329 2731619 2731618 2731360 2731341 10239 
1	|	2053	|	Gordonia	|	2053 85026 85007 1760 201174 1783272 2 131567 
1	|	2712688	|	Salaquimonas	|	2712688 3149307 356 28211 1224 2 131567 
1	|	670516	|	Mycobacteroides	|	670516 1762 85007 1760 201174 1783272 2 131567 
1	|	152161	|	Stappia	|	152161 2821832 356 28211 1224 2 131567 
1	|	43668	|	Brachybacterium	|	43668 85020 85006 1760 201174 1783272 2 131567 
1	|	2600304	|	Baekduia	|	2600304 2600303 588673 1497346 201174 1783272 2 131567 
1	|	1549129	|	Temperatibacter	|	1549129 1549128 362534 28211 1224 2 131567 
1	|	53318	|	Desulfocapsa	|	53318 2886822 3024411 3031451 200940 2 131567 
1	|	2864378	|	Carbonactinospora	|	2864378 2864377 85011 1760 201174 1783272 2 131567 
1	|	2930384	|	Periweissella	|	2930384 33958 186826 91061 1239 1783272 2 131567 
1	|	228398	|	Streptacidiphilus	|	228398 2062 85011 1760 201174 1783272 2 131567 
1	|	157920	|	Cellulosimicrobium	|	157920 85017 85006 1760 201174 1783272 2 131567 
1	|	2420	|	Thermosipho	|	2420 1643950 2419 188708 200918 2 131567 
1	|	3080801	|	Moumouvirus	|	3080801 3044648 549779 2732554 2732523 2732007 2732005 2732004 10239 
1	|	196080	|	Terasakiella	|	196080 2813951 204441 28211 1224 2 131567 
1	|	1161127	|	Murdochiella	|	1161127 1570339 1737405 1737404 1239 1783272 2 131567 
1	|	13	|	Dictyoglomus	|	13 203488 203487 203486 68297 2 131567 
1	|	1982152	|	Gordonvirus	|	1982152 2731619 2731618 2731360 2731341 10239 
1	|	2881385	|	Thermostichus	|	2881385 2881384 2881383 3028117 1117 1798711 1783272 2 131567 
1	|	1759417	|	Pseudohalocynthiibacter	|	1759417 31989 204455 28211 1224 2 131567 
1	|	1195526	|	Gryllotalpicola	|	1195526 85023 85006 1760 201174 1783272 2 131567 
1	|	44	|	Melittangium	|	44 39 80811 29 32015 2818505 2 131567 
1	|	864	|	Pectinatus	|	864 1843491 909929 909932 1239 1783272 2 131567 
1	|	1520333	|	Vespertiliibacter	|	1520333 712 135625 1236 1224 2 131567 
1	|	33951	|	Acetobacterium	|	33951 186806 186802 186801 1239 1783272 2 131567 
1	|	2942978	|	Akihdevirus	|	2942978 2942967 2942965 1978007 2731619 2731618 2731360 2731341 10239 
1	|	10270	|	Leporipoxvirus	|	10270 10241 10240 2732527 2732525 2732007 2732005 2732004 10239 
1	|	2843079	|	Testadenovirus	|	2843079 10508 2732559 2732529 2732008 2732005 2732004 10239 
1	|	2035349	|	Oceanispirochaeta	|	2035349 137 136 203692 203691 2 131567 
1	|	568987	|	Candidatus Hamiltonella	|	568987 146507 84563 191675 543 91347 1236 1224 2 131567 
1	|	2071	|	Saccharothrix	|	2071 2070 85010 1760 201174 1783272 2 131567 
1	|	1406885	|	Aliiglaciecola	|	1406885 72275 135622 1236 1224 2 131567 
1	|	1982375	|	Rerduovirus	|	1982375 2731619 2731618 2731360 2731341 10239 
1	|	2282742	|	Desulfofarcimen	|	2282742 186807 186802 186801 1239 1783272 2 131567 
1	|	212744	|	Rugamonas	|	212744 2895353 75682 80840 28216 1224 2 131567 
1	|	1769012	|	Arachidicoccus	|	1769012 563835 1853229 1853228 976 68336 1783270 2 131567 
1	|	3097638	|	Candidatus Kirkpatrickella	|	3097638 433 204441 28211 1224 2 131567 
1	|	290425	|	Advenella	|	290425 506 80840 28216 1224 2 131567 
1	|	2892920	|	Synoicihabitans	|	2892920 134623 415000 414999 74201 1783257 2 131567 
1	|	2560096	|	Bantamvirus	|	2560096 2731619 2731618 2731360 2731341 10239 
1	|	2975149	|	Marinilongibacter	|	2975149 3141702 768507 768503 976 68336 1783270 2 131567 
1	|	2943016	|	Salvovirus	|	2943016 2943001 2731619 2731618 2731360 2731341 10239 
1	|	1075398	|	Salarchaeum	|	1075398 2236 2235 183963 2290931 28890 3366610 2157 131567 
1	|	2975286	|	Candidatus Comchoanobacter	|	2975286 2975285 2975284 1236 1224 2 131567 
1	|	1857844	|	Pecentumvirus	|	1857844 2560073 2560065 2731619 2731618 2731360 2731341 10239 
1	|	158481	|	Hahella	|	158481 224379 135619 1236 1224 2 131567 
1	|	2056696	|	Cysteiniphilum	|	2056696 2056687 72273 1236 1224 2 131567 
1	|	3044689	|	Clawzvirus	|	3044689 2731619 2731618 2731360 2731341 10239 
1	|	585890	|	Chitiniphilus	|	585890 2897177 206351 28216 1224 2 131567 
1	|	312063	|	Azohydromonas	|	312063 2975441 80840 28216 1224 2 131567 
1	|	107	|	Spirosoma	|	107 89373 768507 768503 976 68336 1783270 2 131567 
1	|	191494	|	Conexibacter	|	191494 320583 588673 1497346 201174 1783272 2 131567 
1	|	1120752	|	Nodosilinea	|	1120752 3039986 3039985 3028117 1117 1798711 1783272 2 131567 
1	|	32257	|	Kingella	|	32257 481 206351 28216 1224 2 131567 
1	|	28236	|	Petrotoga	|	28236 1643949 1643947 188708 200918 2 131567 
1	|	75654	|	Duganella	|	75654 2895353 75682 80840 28216 1224 2 131567 
1	|	99479	|	Nostocoides	|	99479 85021 85006 1760 201174 1783272 2 131567 
1	|	2842693	|	Gammanudivirus	|	2842693 1511852 2840070 2840056 10239 
1	|	3108736	|	Antiquaquibacter	|	3108736 85023 85006 1760 201174 1783272 2 131567 
1	|	2948653	|	Catfishvirus	|	2948653 2946645 2731619 2731618 2731360 2731341 10239 
1	|	104264	|	Cellulophaga	|	104264 49546 200644 117743 976 68336 1783270 2 131567 
1	|	2800682	|	Paraurantiacibacter	|	2800682 335929 204457 28211 1224 2 131567 
1	|	1542963	|	Halapricum	|	1542963 1963268 2235 183963 2290931 28890 3366610 2157 131567 
1	|	1623306	|	Timquatrovirus	|	1623306 2946648 2731619 2731618 2731360 2731341 10239 
1	|	1734920	|	Pseudorhodoplanes	|	1734920 119042 356 28211 1224 2 131567 
1	|	1234	|	Nitrospira	|	1234 189779 189778 203693 40117 2 131567 
1	|	227979	|	Jeotgalicoccus	|	227979 90964 1385 91061 1239 1783272 2 131567 
1	|	1073	|	Rhodopseudomonas	|	1073 41294 356 28211 1224 2 131567 
1	|	40323	|	Stenotrophomonas	|	40323 32033 135614 1236 1224 2 131567 
1	|	2560240	|	Tortellinivirus	|	2560240 1982878 2731619 2731618 2731360 2731341 10239 
1	|	1982562	|	Soupsvirus	|	1982562 2731619 2731618 2731360 2731341 10239 
1	|	1918598	|	Turicimonas	|	1918598 995019 80840 28216 1224 2 131567 
1	|	158876	|	Yokenella	|	158876 543 91347 1236 1224 2 131567 
1	|	33973	|	Acidobacterium	|	33973 204434 204433 204432 57723 2 131567 
1	|	1623302	|	Saphexavirus	|	1623302 2731619 2731618 2731360 2731341 10239 
1	|	2733295	|	Macropopoxvirus	|	2733295 10241 10240 2732527 2732525 2732007 2732005 2732004 10239 
1	|	295595	|	Candidatus Hepatoplasma	|	295595 3132029 2085 31969 544448 1783272 2 131567 
1	|	459532	|	Terribacillus	|	459532 186817 1385 91061 1239 1783272 2 131567 
1	|	39948	|	Dialister	|	39948 31977 1843489 909932 1239 1783272 2 131567 
1	|	2733299	|	Salmonpoxvirus	|	2733299 10241 10240 2732527 2732525 2732007 2732005 2732004 10239 
1	|	63742	|	Natrialba	|	63742 1644061 2235 183963 2290931 28890 3366610 2157 131567 
1	|	2169615	|	Treiskappapapillomavirus	|	2169615 2169595 151340 2732533 2732421 2732415 2732092 2731342 10239 
1	|	3044853	|	Veewebvirus	|	3044853 2731619 2731618 2731360 2731341 10239 
1	|	44260	|	Moorella	|	44260 3039168 3039167 186801 1239 1783272 2 131567 
1	|	2929841	|	Candidatus Ichthyocystis	|	2929841 224471 80840 28216 1224 2 131567 
1	|	1982091	|	Marvinvirus	|	1982091 2731619 2731618 2731360 2731341 10239 
1	|	54298	|	Chroococcidiopsis	|	54298 1890528 1890505 3028117 1117 1798711 1783272 2 131567 
1	|	1813	|	Amycolatopsis	|	1813 2070 85010 1760 201174 1783272 2 131567 
1	|	416212	|	Ferrovum	|	416212 1442156 1442155 28216 1224 2 131567 
1	|	55	|	Polyangium	|	55 49 3031712 3031711 2818505 2 131567 
1	|	146785	|	Thermosynechococcus	|	146785 2881378 3079744 3028117 1117 1798711 1783272 2 131567 
1	|	515417	|	Amphritea	|	515417 135620 135619 1236 1224 2 131567 
1	|	568988	|	Candidatus Regiella	|	568988 146507 84563 191675 543 91347 1236 1224 2 131567 
1	|	341940	|	Betalipothrixvirus	|	341940 10477 1511857 2841637 2840024 2840023 2840022 10239 
1	|	2842772	|	Japarudivirus	|	2842772 157897 1511857 2841637 2840024 2840023 2840022 10239 
1	|	2893090	|	Rhodocaloribacter	|	2893090 563843 1853224 1853222 1853220 68336 1783270 2 131567 
1	|	2807497	|	Natranaerofaba	|	2807497 2807496 485256 186801 1239 1783272 2 131567 
1	|	2582840	|	Desulfocurvibacter	|	2582840 194924 213115 3031449 200940 2 131567 
1	|	338648	|	Candidatus Contubernalis	|	338648 3086088 3086087 3086086 1239 1783272 2 131567 
1	|	33870	|	Coriobacterium	|	33870 84107 84999 84998 201174 1783272 2 131567 
1	|	196082	|	Parascardovia	|	196082 31953 85004 1760 201174 1783272 2 131567 
1	|	245186	|	Loktanella	|	245186 2854170 204455 28211 1224 2 131567 
1	|	335405	|	Sphingosinicella	|	335405 2820280 204457 28211 1224 2 131567 
1	|	3093638	|	Desulfoferula	|	3093638 453228 453227 3031646 200940 2 131567 
1	|	1649295	|	Franconibacter	|	1649295 543 91347 1236 1224 2 131567 
1	|	369400	|	Flaviramulus	|	369400 49546 200644 117743 976 68336 1783270 2 131567 
1	|	121871	|	Haloterrigena	|	121871 1644061 2235 183963 2290931 28890 3366610 2157 131567 
1	|	93682	|	Roseivivax	|	93682 2854170 204455 28211 1224 2 131567 
1	|	2375	|	Sporomusa	|	2375 1843490 909929 909932 1239 1783272 2 131567 
1	|	3044765	|	Miltoncavirus	|	3044765 2731619 2731618 2731360 2731341 10239 
1	|	1508451	|	Polymorphobacter	|	1508451 2820280 204457 28211 1224 2 131567 
1	|	187217	|	Tunavirus	|	187217 1910999 2731691 2731619 2731618 2731360 2731341 10239 
1	|	51366	|	Salinivibrio	|	51366 641 135623 1236 1224 2 131567 
1	|	1348505	|	Polycladomyces	|	1348505 186824 1385 91061 1239 1783272 2 131567 
1	|	239759	|	Alistipes	|	239759 171550 171549 200643 976 68336 1783270 2 131567 
1	|	221065	|	Kordia	|	221065 49546 200644 117743 976 68336 1783270 2 131567 
1	|	265487	|	Blastopirellula	|	265487 2691357 2691354 203683 203682 1783257 2 131567 
1	|	273135	|	Candidatus Cardinium	|	273135 1501348 768507 768503 976 68336 1783270 2 131567 
1	|	2256	|	Natronobacterium	|	2256 1644061 2235 183963 2290931 28890 3366610 2157 131567 
1	|	1649479	|	Permianibacter	|	1649479 135621 72274 1236 1224 2 131567 
