bins	FAGR_M16	FAGR_M17	FAGR_M18	FAGR_M19	FAGR_M20
M_adhaesivum	0.07940228412668347	0.0803895269315476	0.04537725373764824	0.06777000705906397	0.05418077446183723
M_aerolatum	0.11567180473363682	0.13709669317877787	0.08081789470123389	0.10423452301264237	0.08678962901154143
M_ajmalii	0.12615097195539537	0.16240744857077835	0.10878663025472482	0.12521103578214227	0.10354381340996777
M_aminovorans	0.07606032018107366	0.08667194674001193	0.04797940669790343	0.07663692857557744	0.05514289812354186
M_aquaticum	0.0782830312958258	0.0982758531416143	0.06115847342406949	0.07228147848175226	0.06358171363852025
M_brachiatum	0.2558777975249768	0.2685030878243138	0.06999851882862217	0.16178271831070118	0.14076964441002926
M_brachythecii	0.13993607034111225	0.1696670592172037	0.08586633192027465	0.1301366038893932	0.10492487618019364
M_bullatum	0.09123512747527714	0.11036056074273194	0.07167609439467933	0.07729141650309523	0.06650643926401749
M_cerastii	1.3341256255817855	1.3219311418361483	0.19461866048668816	0.6808712641391504	0.40613656574714246
M_crusticola	0.2072427366900188	0.2681617931868229	0.17001942065075934	0.203042434591007	0.16913322780865633
M_currus	0.09000411225885668	0.11255039453799062	0.07372137477267988	0.08459697603721562	0.07554355088710527
M_dankookense	0.1571612317445285	0.17494916744026168	0.10854418512479806	0.14164335840264208	0.11201400498693993
M_durans	0.15144419688069677	0.17910707643581858	0.10177737676542618	0.14392914357265177	0.11815699633564734
M_extorquens	0.06624001792336227	0.06693337248081313	0.036818335390590005	0.06204265910454059	0.040987117420067866
M_frigidaeris	0.07747021894554432	0.09636833915667128	0.060774243329223245	0.07209899076383566	0.06270196899745448
M_fujisawaense	0.12870247813883384	0.14853712888217951	0.05903324865268976	0.0952529739226018	0.08871637424444426
M_gnaphalii	0.12153748733057497	0.1593783759334551	0.06852099404272038	0.1128367485422684	0.08282912747251871
M_goesingense	0.14866948792541498	0.12996380755201	0.06578623247227076	0.0963271020433567	0.07470517946062642
M_gossipiicola	0.08274310417037321	0.10655707451728363	0.05842832215936906	0.0841673011533476	0.06931202489471573
M_gregans	0.10965594472499235	0.12982701927909293	0.07355070830199183	0.10707957315093551	0.07808651490561515
M_haplocladii	0.22945591168862967	0.32930820842144376	0.09040266173010293	0.14764011100779742	0.11883007938428783
M_hispanicum	0.14510934355049773	0.15901951694467303	0.08525984750990473	0.12941134694468356	0.09555149200181581
M_indicum	0.09784285232443904	0.12521409004942846	0.07958934596429672	0.08942961393436771	0.07676583435409105
M_iners	0.15965710629479207	0.1817554649457682	0.09654322003146795	0.14215865221358465	0.11902155260109254
M_isbiliense	0.19104279449824982	0.24762322515569402	0.1548607643633884	0.178927084410632	0.15966014332297646
M_jeotgali	0.2049347369025323	0.23078232299313284	0.12692892098823902	0.19267166993161547	0.15496980819322756
M_komagatae	0.0803921059054505	0.10900368251263563	0.05406712920852421	0.06886242290539943	0.06663579581109871
M_longum	0.33036929082485883	0.26103870522464057	0.1113168325241647	0.611098544227127	0.11576662575917594
M_marchantiae	0.09723704607321515	0.1125806257968309	0.06584968315305242	0.08294518020108041	0.06468094365149935
M_mesophilicum	0.29002661334446717	0.29037096314246225	0.09733006959993341	0.16924442934467454	0.1463693012581474
M_nodulans	0.10690979160364121	0.14040648388475557	0.09319379451708572	0.11715900243262208	0.09272937662107866
M_nonmethylotrophicum	0.1135646474206563	0.14471998010054943	0.08490606754474184	0.11948749210227787	0.09086747507333326
