bins	FAGR_M16	FAGR_M17	FAGR_M18	FAGR_M19	FAGR_M20
M_adhaesivum	0.027353552214198766	0.02363396850656972	0.013393408775387083	0.022073577594334277	0.015217392233832457
M_aerolatum	0.03357849946029282	0.02710324347097831	0.01749553319276003	0.023914204498277344	0.02040841430649422
M_ajmalii	0.028870224240403496	0.03098375752187098	0.021942031976882652	0.028438493985149433	0.02234041990166659
M_aminovorans	0.02305383659646269	0.022739707794170616	0.0135029662734045	0.023741025103040173	0.014899865728987959
M_aquaticum	0.017341483109127292	0.018880943744690987	0.014141972117476462	0.017476788863341735	0.013584942990358
M_brachiatum	0.09496106759173364	0.09411984427352171	0.020128314554740796	0.05922161683658074	0.04527999265566141
M_brachythecii	0.031873501359753156	0.03284723621620722	0.013838053491635346	0.02507639945498949	0.019400007764735896
M_bullatum	0.022573778951224317	0.02386701084674476	0.01632626013411733	0.02072075333467913	0.014799457018498146
M_cerastii	0.3848881264539998	0.39633584630025254	0.059779712072782015	0.2195537825892665	0.12383921267628008
M_crusticola	0.03623351958751556	0.03605016934432184	0.02669729652210858	0.0354573636969199	0.026543700485047172
M_currus	0.023648522588696	0.025201110116221344	0.01848992948476689	0.022337118720332182	0.018176829713103772
M_dankookense	0.037431685224533606	0.036159955292423794	0.021257755557875027	0.03376548811551281	0.024133558673238846
M_durans	0.028675934962343712	0.028041173329405047	0.016387279724529066	0.027226103448910823	0.018680022833152263
M_extorquens	0.023353768731473056	0.02300349894208726	0.013145323098161597	0.024014790692980608	0.013205252707814086
M_frigidaeris	0.01970714976018785	0.021124361376785774	0.014856817663299129	0.018513215943726815	0.013901286090382648
M_fujisawaense	0.04645970309374351	0.04804506514249508	0.01728928139853863	0.030787133982218266	0.026730053148403928
M_gnaphalii	0.02367610936308552	0.024318999383555993	0.011671507756553103	0.021491374716308773	0.01407284785586838
M_goesingense	0.046093723930320636	0.034281780684938236	0.016060328495300757	0.02771067487873674	0.01808272634527513
M_gossipiicola	0.020586099934691154	0.0211706748912348	0.012926952441677873	0.020139657056725872	0.014186495986986854
M_gregans	0.03083586023741264	0.03065325119814334	0.018615677255843968	0.029072612421627387	0.019348376442006484
M_haplocladii	0.0804151177722134	0.11272469378445878	0.02579345896654431	0.04313869767202434	0.026702086035585045
M_hispanicum	0.03610554265821114	0.031967157738760237	0.018908163936256474	0.032049462005446526	0.020590059901556875
M_indicum	0.024222624211798032	0.024853359890180768	0.018481425902644483	0.022540609643624053	0.017301309160355483
