bins	ABBA_M11	ABBA_M12	ABBA_M13	ABBA_M14	ABBA_M15
M_adhaesivum	0.015404023452681824	0.024184455778662642	0.02633509731546063	0.03698996552560097	0.021200707873186547
M_aerolatum	0.02200426640315152	0.0352787051948225	0.053988963936489845	0.06877745305367652	0.03123864077849044
M_ajmalii	0.02610082614885498	0.02902568947176222	0.03423198852600437	0.042902317556589346	0.03168460801591964
M_aminovorans	0.017229668457793536	0.027592532099984066	0.02891068767790401	0.042898648501046785	0.025136739166916867
M_aquaticum	0.01715017467114434	0.017309870888605892	0.021163019043365153	0.026405333526640245	0.020713498717933695
M_brachiatum	0.032790358094869736	0.11415225337589559	0.11728700511090882	0.1441233381974854	0.04820605538823805
M_brachythecii	0.020256716958737823	0.03179585400078017	0.03182765244302625	0.04701381198616398	0.027312273644082993
M_bullatum	0.0168069014364221	0.021817229088575238	0.024075425096552656	0.03251078221610819	0.021024886788520485
M_cerastii	0.13586667666310853	0.4474392530579462	0.21229584618148292	0.41994260458777294	0.08500006680790352
M_crusticola	0.031120353083246104	0.03793299406390185	0.04314373291981242	0.05617218839505544	0.03949080099127076
M_currus	0.019894682274744082	0.022813934166415435	0.026984552238276026	0.034020581952412705	0.025411177468178413
M_dankookense	0.028194789945550094	0.04670082154404948	0.059762025297492805	0.08055814777501812	0.04215157815822568
M_durans	0.022452648829800945	0.03385802935164896	0.03895011692783619	0.05596567661627414	0.032735374813559946
M_extorquens	0.017146073606297735	0.025267597137814096	0.028331845435168163	0.04518463953482866	0.024448014819433067
M_frigidaeris	0.018620496953321866	0.02032238135643186	0.0235595249386691	0.030840919053466188	0.02240955454668967
M_fujisawaense	0.024180483771676666	0.05017943136367836	0.058766546625754354	0.07967790555208219	0.03210999403595467
M_gnaphalii	0.015860052728315685	0.026287338466798604	0.025005966094950007	0.03988961517480711	0.023290753151011152
M_goesingense	0.016963171287799512	0.031309860670510746	0.03181396039414637	0.04385573861951288	0.022115899069074598
M_gossipiicola	0.015352109718862543	0.01988328391888442	0.02312441501064722	0.03201503761060236	0.020481782588948772
M_gregans	0.0238483227385855	0.03683741337168181	0.04669377543405333	0.06320187629482256	0.033769616327789666
M_haplocladii	0.02626280453660344	0.06209117459460547	0.0469406130777844	0.06974691459359757	0.03742544272588986
M_hispanicum	0.02683720953327161	0.04097849691945813	0.05335979708913732	0.07085253828916363	0.03858324715459705
M_indicum	0.02192475204648799	0.023157416905520544	0.028160250863443113	0.035260419444765836	0.027105648146990378
M_iners	0.023185324271707556	0.03726474100446324	0.03958170840495757	0.057017015479569666	0.033436430982141586
M_isbiliense	0.030101583196909372	0.03418978367293134	0.04042299484747029	0.05097405489500363	0.037888686366702735
M_jeotgali	0.03421222346601224	0.05280516507724654	0.06212641451215924	0.0875468215185241	0.05044390746202255
M_komagatae	0.012330229225189383	0.01919766185981518	0.024452552688390517	0.03241439834634956	0.016651906690294746
M_longum	0.03393774125499635	0.35646570240272396	0.09203850520314664	0.1661414453364395	0.03571936345062346
M_marchantiae	0.015448469380347015	0.022178527830324944	0.022299020907065814	0.033151416237915746	0.02187881213764037
M_mesophilicum	0.0318070740602781	0.10119006198637473	0.11383276504530614	0.14365884707798984	0.047187349485539015
M_nodulans	0.0200441858839134	0.021595149327606606	0.025667771841726382	0.030917447654276682	0.024632928846652944
